Table 5,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,
"by State, 2011", ,,,,,,,,,,,
State,Area,,Population,"Violent 
crime","Murder and 
nonnegligent 
manslaughter","Forcible
rape",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny- 
theft","Motor 
vehicle 
theft"
,,Area actually reporting,100.0%,"4,120",37,215,"1,337","2,531","23,654","5,280","17,075","1,299"
,Cities outside metropolitan areas,,"48,021",,,,,,,,,
,,Area actually reporting,100.0%,329,0,28,100,201,"2,772",580,"2,142",50
,Nonmetropolitan counties,,"151,144",,, ,,,,,,
,,Area actually reporting,100.0%,626,4,46,101,475,"4,513","1,671","2,661",181
,State Total,,"907,135","5,075",41,289,"1,538","3,207","30,939","7,531","21,878","1,530"
,,"Rate per 100,000 inhabitants",,559.5,4.5,31.9,169.5,353.5,"3,410.6",830.2,"2,411.8",168.7
DISTRICT OF COLUMBIA2,Metropolitan Statistical Area,,"617,996",,,,,,,,,
,,Area actually reporting,100.0%,"7,429",108,173,"4,093","3,055","29,636","3,850","21,330","4,456"
,Cities outside metropolitan areas,,None,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,
,Total,,"617,996","7,429",108,173,"4,093","3,055","29,636","3,850","21,330","4,456"
,,"Rate per 100,000 inhabitants",,"1,202.1",17.5,28.0,662.3,494.3,"4,795.5",623.0,"3,451.5",721.0
FLORIDA,Metropolitan Statistical Area,,"17,931,051", ,,,,, ,,,
,,Area actually reporting,99.9%,"93,488",938,"4,976","25,088","62,486","641,973","160,797","442,693","38,483"
,,Estimated total,100.0%,"93,499",938,"4,976","25,092","62,493","642,066","160,818","442,760","38,488"
,Cities outside metropolitan areas,,"191,511",,,,,,,,,
,,Area actually reporting,98.7%,"1,374",10,82,233,"1,049","8,449","2,184","5,978",287
,,Estimated total,100.0%,"1,391",10,83,236,"1,062","8,557","2,212","6,054",291
,Nonmetropolitan counties,,"934,980",,,,,,,,,
,,Area actually reporting,100.0%,"3,309",36,215,294,"2,764","20,577","7,141","12,594",842
,State Total,,"19,057,542","98,199",984,"5,274","25,622","66,319","671,200","170,171","461,408","39,621"
,,"Rate per 100,000 inhabitants",,515.3,5.2,27.7,134.4,348.0,"3,522.0",892.9,"2,421.1",207.9
GEORGIA,Metropolitan Statistical Area,,"7,950,984",,,,,,,,,
,,Area actually reporting,99.4%,"30,696",477,"1,713","11,046","17,460","293,471","78,801","187,750","26,920"
,,Estimated total,100.0%,"30,861",479,"1,721","11,102","17,559","295,307","79,227","189,019","27,061"
,Cities outside metropolitan areas,,"687,967",,,,,,,,,
,,Area actually reporting,86.5%,"3,034",30,175,736,"2,093","29,100","7,180","21,089",831
,,Estimated total,100.0%,"3,506",35,202,850,"2,419","33,624","8,298","24,366",960
,Nonmetropolitan counties,,"1,176,259",,,,,,,,,
,,Area actually reporting,95.2%,"2,158",38,124,187,"1,809","25,715","7,739","16,592","1,384"
,,Estimated total,100.0%,"2,267",40,130,196,"1,901","27,021","8,132","17,435","1,454"
,State Total,,"9,815,210","36,634",554,"2,053","12,148","21,879","355,952","95,657","230,820","29,475"
,,"Rate per 100,000 inhabitants",,373.2,5.6,20.9,123.8,222.9,"3,626.5",974.6,"2,351.7",300.3
HAWAII,Metropolitan Statistical Area,,"963,465",,,,,,,,,
,,Area actually reporting,100.0%,"2,469",17,228,890,"1,334","29,758","5,215","21,269","3,274"
,Cities outside metropolitan areas,,None,,,,,,,,,
,Nonmetropolitan counties,,"411,345",,,,,,,,,
,,Area actually reporting,16.5%,244,0,34,25,185,"2,659",790,"1,719",150
,,Estimated total,100.0%,"1,480",0,206,152,"1,122","16,131","4,793","10,428",910
,State Total, ,"1,374,810","3,949",17,434,"1,042","2,456","45,889","10,008","31,697","4,184"
,,"Rate per 100,000 inhabitants",,287.2,1.2,31.6,75.8,178.6,"3,337.8",728.0,"2,305.6",304.3
IDAHO,Metropolitan Statistical Area,,"1,039,576",,,,,, ,,,
,,Area actually reporting,99.9%,"2,231",20,296,151,"1,764","23,711","4,765","18,039",907
,,Estimated total,100.0%,"2,232",20,296,151,"1,765","23,722","4,767","18,048",907
,Cities outside metropolitan areas,,"244,961",,,,,,,,,
,,Area actually reporting,99.4%,591,10,90,27,464,"5,872","1,154","4,486",232
,,Estimated total,100.0%,595,10,91,27,467,"5,907","1,161","4,513",233
,Nonmetropolitan counties, ,"300,448",,,,,,, ,,
,,Area actually reporting,100.0%,357,6,48,6,297,"3,158",992,"1,973",193
,State Total,,"1,584,985","3,184",36,435,184,"2,529","32,787","6,920","24,534","1,333"
,,"Rate per 100,000 inhabitants",,200.9,2.3,27.4,11.6,159.6,"2,068.6",436.6,"1,547.9",84.1
ILLINOIS,Metropolitan Statistical Area,,"11,192,664",,,,,,,,,
,,Area actually reporting,93.6%,"49,258",670,"2,949","19,439","26,200","294,897","65,767","201,983","27,147"
,,Estimated total,100.0%,"50,871",687,"3,124","19,887","27,173","310,391","68,799","213,754","27,838"
,Cities outside metropolitan areas,,"919,496",,,,,,,,,
,,Area actually reporting,70.3%,"2,489",16,319,237,"1,917","19,494","4,398","14,641",455
,,Estimated total,100.0%,"3,543",23,454,337,"2,729","27,748","6,260","20,840",648
,Nonmetropolitan counties,,"757,097",,,,,,,,,
,,Area actually reporting,91.4%,761,10,119,27,605,"7,205","2,455","4,491",259
,,Estimated total,100.0%,833,11,130,30,662,"7,886","2,687","4,916",283
,State Total,,"12,869,257","55,247",721,"3,708","20,254","30,564","346,025","77,746","239,510","28,769"
,,"Rate per 100,000 inhabitants",,429.3,5.6,28.8,157.4,237.5,"2,688.8",604.1,"1,861.1",223.5
INDIANA,Metropolitan Statistical Area,,"5,104,685",,,,,,,,,
,,Area actually reporting,89.5%,"18,664",255,"1,361","6,187","10,861","163,652","40,866","110,120","12,666"
,,Estimated total,100.0%,"19,389",265,"1,440","6,312","11,372","173,726","43,199","117,207","13,320"
,Cities outside metropolitan areas, ,"510,618",,,,,,,,,
,,Area actually reporting,83.9%,848,22,117,207,502,"16,830","3,093","12,966",771
,,Estimated total,100.0%,"1,011",26,139,247,599,"20,067","3,688","15,460",919
,Nonmetropolitan counties,,"901,619",,,,,,,,,
,,Area actually reporting,77.5%,950,16,138,325,471,"9,500","2,839","6,214",447
,,Estimated total,100.0%,"1,226",21,178,419,608,"12,262","3,664","8,021",577
,State Total,,"6,516,922","21,626",312,"1,757","6,978","12,579","206,055","50,551","140,688","14,816"
,,"Rate per 100,000 inhabitants",,331.8,4.8,27.0,107.1,193.0,"3,161.8",775.7,"2,158.8",227.3
IOWA,Metropolitan Statistical Area,,"1,730,732", ,,,,,,,,
,,Area actually reporting,99.9%,"5,317",29,609,696,"3,983","49,402","11,370","35,188","2,844"
,,Estimated total,100.0%,"5,322",29,610,696,"3,987","49,450","11,379","35,225","2,846"
,Cities outside metropolitan areas,,"614,048",,,,,,,,,
,,Area actually reporting,92.0%,"1,666",8,155,106,"1,397","15,499","3,734","11,067",698
,,Estimated total,100.0%,"1,810",9,168,115,"1,518","16,844","4,058","12,027",759
,Nonmetropolitan counties,,"717,529",,,,,,,,,
,,Area actually reporting,85.2%,592,7,48,12,525,"4,316","1,672","2,362",282
,,Estimated total,100.0%,694,8,56,14,616,"5,067","1,963","2,773",331
,State Total,,"3,062,309","7,826",46,834,825,"6,121","71,361","17,400","50,025","3,936"
,,"Rate per 100,000 inhabitants",,255.6,1.5,27.2,26.9,199.9,"2,330.3",568.2,"1,633.6",128.5
KANSAS,Metropolitan Statistical Area,,"1,961,511", ,,,,,,,,
,,Area actually reporting,99.2%,"7,627",91,764,"1,296","5,476","64,037","13,043","45,437","5,557"
,,Estimated total,100.0%,"7,665",91,769,"1,300","5,505","64,390","13,103","45,707","5,580"
,Cities outside metropolitan areas,,"584,158",,,,,,,,,
,,Area actually reporting,96.7%,"1,850",13,230,139,"1,468","18,900","3,987","14,132",781
,,Estimated total,100.0%,"1,913",13,238,144,"1,518","19,550","4,124","14,618",808
,Nonmetropolitan counties,,"325,569",,,,,,,,,
,,Area actually reporting,94.7%,554,6,74,14,460,"4,262","1,480","2,508",274
,,Estimated total,100.0%,584,6,78,15,485,"4,498","1,562","2,647",289
,State Total,,"2,871,238","10,162",110,"1,085","1,459","7,508","88,438","18,789","62,972","6,677"
,,"Rate per 100,000 inhabitants",,353.9,3.8,37.8,50.8,261.5,"3,080.1",654.4,"2,193.2",232.5
KENTUCKY,Metropolitan Statistical Area,,"2,541,214", ,,,,, ,,,
,,Area actually reporting,99.5%,"7,887",85,778,"3,040","3,984","83,613","20,924","58,015","4,674"
,,Estimated total,100.0%,"7,924",85,784,"3,055","4,000","84,118","21,045","58,375","4,698"
,Cities outside metropolitan areas,,"518,140",,,,,,,,,
,,Area actually reporting,96.9%,999,11,184,382,422,"17,022","3,916","12,447",659
,,Estimated total,100.0%,"1,030",11,190,394,435,"17,558","4,039","12,839",680
,Nonmetropolitan counties,,"1,310,002",,,,,,,,,
,,Area actually reporting,94.9%,"1,378",54,464,232,628,"15,837","7,091","7,517","1,229"
,,Estimated total,100.0%,"1,452",57,489,244,662,"16,682","7,469","7,918","1,295"
,State Total,,"4,369,356","10,406",153,"1,463","3,693","5,097","118,358","32,553","79,132","6,673"
,,"Rate per 100,000 inhabitants",,238.2,3.5,33.5,84.5,116.7,"2,708.8",745.0,"1,811.1",152.7
LOUISIANA,Metropolitan Statistical Area,,"3,411,659", ,,,,, ,,,
,,Area actually reporting,98.5%,"18,397",437,910,"4,488","12,562","127,086","33,626","85,844","7,616"
,,Estimated total,100.0%,"18,682",440,925,"4,527","12,790","129,355","34,068","87,599","7,688"
,Cities outside metropolitan areas,,"394,448",,,,,,,,,
,,Area actually reporting,83.8%,"2,879",31,109,384,"2,355","17,602","5,333","11,811",458
,,Estimated total,100.0%,"3,436",37,130,458,"2,811","21,009","6,365","14,097",547
,Nonmetropolitan counties,,"768,729",,,,,,,,,
,,Area actually reporting,98.1%,"3,226",35,209,249,"2,733","18,040","5,778","11,390",872
,,Estimated total,100.0%,"3,288",36,213,254,"2,785","18,380","5,887","11,605",888
,State Total,,"4,574,836","25,406",513,"1,268","5,239","18,386","168,744","46,320","113,301","9,123"
,,"Rate per 100,000 inhabitants",,555.3,11.2,27.7,114.5,401.9,"3,688.5","1,012.5","2,476.6",199.4
MAINE,Metropolitan Statistical Area,,"775,621",,,,,,,,,
,,Area actually reporting,100.0%,961,16,193,293,459,"20,759","4,679","15,425",655
,Cities outside metropolitan areas,,"272,487",,,,,,,,,
,,Area actually reporting,100.0%,433,7,138,65,223,"8,483","1,650","6,647",186
,Nonmetropolitan counties,,"280,080",,,,,,,,,
,,Area actually reporting,100.0%,242,3,62,11,166,"4,567","1,525","2,805",237
,State Total,,"1,328,188","1,636",26,393,369,848,"33,809","7,854","24,877","1,078"
,,"Rate per 100,000 inhabitants",,123.2,2.0,29.6,27.8,63.8,"2,545.5",591.3,"1,873.0",81.2
MARYLAND,Metropolitan Statistical Area,,"5,514,983",,,,,,,,,
,,Area actually reporting,100.0%,"27,808",391,"1,139","10,174","16,104","157,597","33,417","108,437","15,743"
,Cities outside metropolitan areas,,"83,421",,,,,,,,,
,,Area actually reporting,100.0%,457,0,24,87,346,"3,952",784,"3,097",71
,Nonmetropolitan counties,,"229,885",,,,,,,,,
,,Area actually reporting,100.0%,532,7,31,82,412,"5,150","1,583","3,313",254
,State Total,,"5,828,289","28,797",398,"1,194","10,343","16,862","166,699","35,784","114,847","16,068"
,,"Rate per 100,000 inhabitants",,494.1,6.8,20.5,177.5,289.3,"2,860.2",614.0,"1,970.5",275.7
MASSACHUSETTS,Metropolitan Statistical Area,,"6,560,666",,,,,,,,,
,,Area actually reporting,97.4%,"27,632",183,"1,590","6,665","19,194","144,601","35,541","98,532","10,528"
,,Estimated total,100.0%,"28,158",185,"1,627","6,762","19,584","147,980","36,376","100,857","10,747"
,Cities outside metropolitan areas,,"26,795",,,,,,,,,
,,Area actually reporting,100.0%,57,0,1,5,51,810,157,614,39
,Nonmetropolitan counties,,75,,,,,,,,,
,,Area actually reporting,100.0%,4,0,0,1,3,0,0,0,0
,State Total,,"6,587,536","28,219",185,"1,628","6,768","19,638","148,790","36,533","101,471","10,786"
,,"Rate per 100,000 inhabitants",,428.4,2.8,24.7,102.7,298.1,"2,258.7",554.6,"1,540.3",163.7
MICHIGAN,Metropolitan Statistical Area,,"8,027,009",,,,,,,,,
,,Area actually reporting,98.6%,"39,968",577,"3,221","10,134","26,036","219,831","62,405","133,328","24,098"
,,Estimated total,100.0%,"40,295",577,"3,259","10,207","26,252","222,823","63,065","135,429","24,329"
,Cities outside metropolitan areas,,"641,557",,,,,,,,,
,,Area actually reporting,82.7%,"1,217",6,341,104,766,"14,185","2,090","11,701",394
,,Estimated total,100.0%,"1,438",7,406,123,902,"16,858","2,465","13,921",472
,Nonmetropolitan counties,,"1,207,621",,,,,,,,,
,,Area actually reporting,92.4%,"2,078",27,630,58,"1,363","16,901","5,603","10,656",642
,,Estimated total,100.0%,"2,250",29,682,63,"1,476","18,298","6,066","11,537",695
,State Total, ,"9,876,187","43,983",613,"4,347","10,393","28,630","257,979","71,596","160,887","25,496"
,,"Rate per 100,000 inhabitants",,445.3,6.2,44.0,105.2,289.9,"2,612.1",724.9,"1,629.0",258.2
MINNESOTA3,Metropolitan Statistical Area,,"4,002,202",,,,,,,,,
,,Area actually reporting,99.7%,,62,,"3,251","5,317","111,479","20,563","84,086","6,830"
,,Estimated total,100.0%,,62,,"3,256","5,328","111,842","20,613","84,384","6,845"
,Cities outside metropolitan areas,,"512,001",,,,,,,,,
,,Area actually reporting,97.3%,,4,,105,891,"14,558","2,317","11,594",647
,,Estimated total,100.0%,,4,,108,916,"14,969","2,382","11,922",665
,Nonmetropolitan counties,,"830,658",,,,,,,,,
,,Area actually reporting,99.2%,,8,,22,453,"9,374","2,706","6,002",666
,,Estimated total,100.0%,,8,,22,457,"9,453","2,729","6,052",672
,State Total,,"5,344,861","11,825",74,"1,664","3,386","6,701","136,264","25,724","102,358","8,182"
,,"Rate per 100,000 inhabitants",,221.2,1.4,31.1,63.4,125.4,"2,549.4",481.3,"1,915.1",153.1
MISSISSIPPI,Metropolitan Statistical Area,,"1,336,058", ,,,,,,,,
,,Area actually reporting,88.1%,"3,742",104,370,"1,418","1,850","41,467","12,629","25,875","2,963"
,,Estimated total,100.0%,"4,007",110,399,"1,477","2,021","44,845","13,633","28,044","3,168"
,Cities outside metropolitan areas,,"593,438",,,,,,,,,
,,Area actually reporting,76.4%,"1,849",63,217,609,960,"21,741","7,601","13,351",789
,,Estimated total,100.0%,"2,419",82,284,797,"1,256","28,452","9,947","17,472","1,033"
,Nonmetropolitan counties,,"1,049,016",,,,,,,,,
,,Area actually reporting,55.0%,886,26,100,120,640,"9,250","4,030","4,822",398
,,Estimated total,100.0%,"1,610",47,182,218,"1,163","16,818","7,327","8,767",724
,State Total,,"2,978,512","8,036",239,865,"2,492","4,440","90,115","30,907","54,283","4,925"
,,"Rate per 100,000 inhabitants",,269.8,8.0,29.0,83.7,149.1,"3,025.5","1,037.7","1,822.5",165.4
MISSOURI,Metropolitan Statistical Area,,"4,481,246", ,,,,,,,,
,,Area actually reporting,100.0%,"22,382",311,"1,183","5,999","14,889","161,124","36,046","111,574","13,504"
,Cities outside metropolitan areas,,"655,159",,,,,,,,,
,,Area actually reporting,99.6%,"2,567",24,156,220,"2,167","25,031","4,374","19,765",892
,,Estimated total,100.0%,"2,578",24,157,221,"2,176","25,130","4,391","19,843",896
,Nonmetropolitan counties,,"874,283",,,,,,,,,
,,Area actually reporting,99.2%,"1,914",31,117,49,"1,717","12,525","4,349","7,266",910
,,Estimated total,100.0%,"1,929",31,118,49,"1,731","12,628","4,385","7,326",917
,State Total,,"6,010,688","26,889",366,"1,458","6,269","18,796","198,882","44,822","138,743","15,317"
,,"Rate per 100,000 inhabitants",,447.4,6.1,24.3,104.3,312.7,"3,308.8",745.7,"2,308.3",254.8
MONTANA1,Metropolitan Statistical Area,,"351,772", ,,,,,,,,
,,Area actually reporting,100.0%,898,6,96,100,696,"11,329","1,584","9,098",647
,Cities outside metropolitan areas,,"201,871",,,,,,,,,
,,Area actually reporting,97.5%,907,12,142,45,708,"6,677",921,"5,319",437
,,Estimated total,100.0%,930,12,146,46,726,"6,850",945,"5,457",448
,Nonmetropolitan counties,,"444,556",,,,,,,,,
,,Area actually reporting,98.8%,833,10,114,23,686,"4,917",851,"3,707",359
,,Estimated total,100.0%,842,10,115,23,694,"4,976",861,"3,752",363
,State Total,,"998,199","2,670",28,357,169,"2,116","23,155","3,390","18,307","1,458"
,,"Rate per 100,000 inhabitants",,267.5,2.8,35.8,16.9,212.0,"2,319.7",339.6,"1,834.0",146.1
NEBRASKA,Metropolitan Statistical Area,,"1,080,927",,,,,,,,,
,,Area actually reporting,99.1%,"3,583",52,459,902,"2,170","35,119","5,811","25,866","3,442"
,,Estimated total,100.0%,"3,588",52,460,902,"2,174","35,243","5,836","25,956","3,451"
,Cities outside metropolitan areas,,"405,148",,,,,,,,,
,,Area actually reporting,92.2%,795,10,171,77,537,"11,007","1,838","8,758",411
,,Estimated total,100.0%,861,11,185,83,582,"11,935","1,993","9,496",446
,Nonmetropolitan counties,,"356,566",,,,,,,,,
,,Area actually reporting,77.8%,168,3,39,9,117,"2,761",689,"1,912",160
,,Estimated total,100.0%,216,4,50,12,150,"3,548",885,"2,457",206
,State Total,,"1,842,641","4,665",67,695,997,"2,906","50,726","8,714","37,909","4,103"
,,"Rate per 100,000 inhabitants",,253.2,3.6,37.7,54.1,157.7,"2,752.9",472.9,"2,057.3",222.7
NEVADA,Metropolitan Statistical Area,,"2,452,465",,,,,,,,,
,,Area actually reporting,100.0%,"14,560",121,857,"4,258","9,324","65,403","19,012","37,167","9,224"
,Cities outside metropolitan areas,,"46,407",,,,,,,,,
,,Area actually reporting,100.0%,301,3,28,21,249,"1,468",387,981,100
,Nonmetropolitan counties,,"224,450",,,,,,,,,
,,Area actually reporting,78.1%,350,13,21,16,300,"2,235",637,"1,472",126
,,Estimated total,100.0%,448,17,27,20,384,"2,860",815,"1,884",161
,State Total,,"2,723,322","15,309",141,912,"4,299","9,957","69,731","20,214","40,032","9,485"
,,"Rate per 100,000 inhabitants",,562.1,5.2,33.5,157.9,365.6,"2,560.5",742.3,"1,470.0",348.3
NEW HAMPSHIRE,Metropolitan Statistical Area,,"820,159",,,,,,,,,
,,Area actually reporting,93.8%,"1,601",9,230,351,"1,011","17,773","3,315","13,847",611
,,Estimated total,100.0%,"1,648",9,239,358,"1,042","18,475","3,440","14,400",635
,Cities outside metropolitan areas,,"445,693",,,,,,,,,
,,Area actually reporting,90.0%,702,7,156,102,437,"10,180","1,948","7,939",293
,,Estimated total,100.0%,780,8,173,113,486,"11,316","2,165","8,825",326
,Nonmetropolitan counties,,"52,342",,,,,,,,,
,,Area actually reporting,3.1%,13,0,5,1,7,88,19,66,3
,,Estimated total,100.0%,50,0,17,3,30,315,144,158,13
,State Total,,"1,318,194","2,478",17,429,474,"1,558","30,106","5,749","23,383",974
,,"Rate per 100,000 inhabitants",,188.0,1.3,32.5,36.0,118.2,"2,283.9",436.1,"1,773.9",73.9
NEW JERSEY,Metropolitan Statistical Area,,"8,821,155",,,,,,,,,
,,Area actually reporting,100.0%,"27,203",380,"1,006","12,209","13,608","189,719","43,238","129,066","17,415"
,Cities outside metropolitan areas,,None,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,
,State Total,,"8,821,155","27,203",380,"1,006","12,209","13,608","189,719","43,238","129,066","17,415"
,,"Rate per 100,000 inhabitants",,308.4,4.3,11.4,138.4,154.3,"2,150.7",490.2,"1,463.1",197.4
NEW MEXICO,Metropolitan Statistical Area,,"1,385,862", ,,,,, ,,,
,,Area actually reporting,100.0%,"8,090",61,550,"1,414","6,065","51,271","13,834","33,060","4,377"
,Cities outside metropolitan areas,,"395,776",,,,,,,,,
,,Area actually reporting,97.9%,"2,757",62,217,253,"2,225","17,163","5,160","11,312",691
,,Estimated total,100.0%,"2,816",63,222,258,"2,273","17,532","5,271","11,555",706
,Nonmetropolitan counties,,"300,586",,,,,,,,,
,,Area actually reporting,94.3%,859,30,80,47,702,"4,461","2,186","1,969",306
,,Estimated total,100.0%,911,32,85,50,744,"4,731","2,318","2,088",325
,State Total,,"2,082,224","11,817",156,857,"1,722","9,082","73,534","21,423","46,703","5,408"
,,"Rate per 100,000 inhabitants",,567.5,7.5,41.2,82.7,436.2,"3,531.5","1,028.9","2,242.9",259.7
NEW YORK,Metropolitan Statistical Area,,"17,894,951",,,,,,,,,
,,Area actually reporting,99.4%,"74,802",753,"2,389","28,057","43,603","339,446","58,057","263,122","18,267"
,,Estimated total,100.0%,"74,948",754,"2,398","28,105","43,691","341,125","58,348","264,442","18,335"
,Cities outside metropolitan areas,,"584,129",,,,,,,,,
,,Area actually reporting,97.7%,"1,454",7,162,213,"1,072","16,437","3,249","12,767",421
,,Estimated total,100.0%,"1,488",7,166,218,"1,097","16,823","3,325","13,067",431
,Nonmetropolitan counties,,"986,117",,,,,,,,,
,,Area actually reporting,97.3%,"1,026",13,183,71,759,"13,918","3,623","9,765",530
,,Estimated total,100.0%,"1,054",13,188,73,780,"14,307","3,724","10,038",545
,State Total,,"19,465,197","77,490",774,"2,752","28,396","45,568","372,255","65,397","287,547","19,311"
