Table 5,,,,,,,,,,,,,,
Index of Crime,,,,,,,,,,,,,,
"by State, 2000",,,,,,,,,,,,,,
Area,Population,Crime Index Total,Modified Crime Index Total1,Violent Crime2,Property Crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,,Burglary,Larceny-theft,Motor vehicle theft,Arson1
   Estimated totals,100.0%,"8,963",,"1,419","7,544",6,160,124,"1,129",,"1,046","5,655",843,
Rural,"195,140",,,,,,,,,,,,,
   Area actually reporting,100.0%,"4,812", ,611,"4,201",11,142,20,438,,"1,320","2,384",497,
State Total,"626,932","26,641", ,"3,554","23,087",27,497,490,"2,540",,"3,899","16,838","2,350",
"   Rate per 100,000 inhabitants",,"4,249.4",,566.9,"3,682.5",4.3,79.3,78.2,405.1,,621.9,"2,685.8",374.8,
,,,,,,,,,,,,,,
ARIZONA,, , , ,, ,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"4,511,366",,,,,,,,,,,,,
   Area actually reporting,99.5%,"278,715",,"25,362","253,353",346,"1,511","7,338","16,167",,"48,057","163,534","41,762",
   Estimated totals,100.0%,"280,096",,"25,457","254,639",347,"1,518","7,360","16,232",,"48,338","164,377","41,924",
Cities outside metropolitan areas,"304,632",,,,, ,,,,,,,,
   Area actually reporting,98.6%,"13,753",,"1,019","12,734",11,45,98,865,,"2,312","9,623",799,
   Estimated totals,100.0%,"13,955",,"1,034","12,921",11,46,99,878,,"2,346","9,764",811,
Rural,"314,634",, ,,,,,,,,,,,
   Area actually reporting,78.4%,"3,952",,619,"3,333",1,10,35,573,,955,"2,010",368,
   Estimated totals,100.0%,"5,041",,790,"4,251",1,13,45,731,,"1,218","2,564",469,
State Total,"5,130,632","299,092",,"27,281","271,811",359,"1,577","7,504","17,841",,"51,902","176,705","43,204",
"   Rate per 100,000 inhabitants",,"5,829.5",,531.7,"5,297.8",7.0,30.7,146.3,347.7,,"1,011.6","3,444.1",842.1,
,, ,,,,,,,,,,,,
ARKANSAS,, ,, , ,, , , ,, , ,,
,,,,,,,,, ,, , , ,
Metropolitan Statistical Area,"1,309,487",, ,,,,,,,,,,,
   Area actually reporting,100.0%,"70,272",,"7,271","63,001",95,597,"1,486","5,093",,"12,337","45,880","4,784",
Cities outside metropolitan areas,"517,139",,,,, ,,,,,,,,
   Area actually reporting,99.9%,"27,142",,"3,159","23,983",33,159,418,"2,549",,"5,345","17,434","1,204",
   Estimated totals,100.0%,"27,177",,"3,163","24,014",33,159,419,"2,552",,"5,352","17,456","1,206",
Rural,"846,774",,,,,,,,,,,,,
   Area actually reporting,98.7%,"12,403",,"1,451","10,952",40,91,95,"1,225",,"3,704","6,319",929,
   Estimated totals,100.0%,"12,570",,"1,470","11,100",40,92,96,"1,242",,"3,754","6,404",942,
State Total,"2,673,400","110,019",,"11,904","98,115",168,848,"2,001","8,887",,"21,443","69,740","6,932",
"   Rate per 100,000 inhabitants",,"4,115.3",,445.3,"3,670.0",6.3,31.7,74.8,332.4,,802.1,"2,608.7",259.3,
,,,,,,,,,,,,,,
CALIFORNIA,, ,, , ,, ,, ,,,,,
,,,, ,,,,,,,,,,
Metropolitan Statistical Area,"32,735,730",,,,,,,,,,,,,
   Area actually reporting,100.0%,"1,231,988",,"206,253","1,025,734","2,028","9,466","59,749","135,010",,"213,040","633,595","179,099",
Cities outside metropolitan areas,"496,419",,,,,,,,,,,,,
   Area actually reporting,99.5%,"20,326",,"2,472","17,854",24,135,372,"1,941",,"4,348","11,837","1,669",
   Estimated totals,100.0%,"20,428",,"2,485","17,943",24,136,374,"1,951",,"4,370","11,896","1,677",
Rural,"639,499",,,,,,,,,,,,,
   Area actually reporting,100.0%,"14,298",,"1,793","12,505",27,183,126,"1,457",,"4,883","6,363","1,259",
State Total,"33,871,648","1,266,714",,"210,531","1,056,183","2,079","9,785","60,249","138,418",,"222,293","651,855","182,035",
"   Rate per 100,000 inhabitants",,"3,739.7",,621.6,"3,118.2",6.1,28.9,177.9,408.7,,656.3,"1,924.5",537.4,
,,,,,,,,,,,,,,
COLORADO,,,, ,,, ,, ,,,, ,
,, ,,, , , ,,,,,,,
Metropolitan Statistical Area,"3,595,433",, ,,,,,, ,,,,,
   Area actually reporting,98.0%,"145,204",,"12,550","132,654",118,"1,533","2,884","8,015",,"23,361","93,677","15,616",
   Estimated totals,100.0%,"148,722",,"12,805","135,917",121,"1,562","2,945","8,177",,"23,812","96,099","16,006",
Cities outside metropolitan areas,"322,921",, ,,,,,,,,,,,
   Area actually reporting,89.7%,"14,865",,964,"13,901",7,141,71,745,,"2,000","11,357",544,
   Estimated totals,100.0%,"16,568",,"1,074","15,494",8,157,79,830,,"2,229","12,659",606,
Rural,"382,907",,,,,,,,,,,,,
   Area actually reporting,94.2%,"5,666",,460,"5,206",5,52,9,394,,"1,029","3,848",329,
   Estimated totals,100.0%,"6,014",,488,"5,526",5,55,10,418,,"1,092","4,085",349,
State Total,"4,301,261","171,304",,"14,367","156,937",134,"1,774","3,034","9,425",,"27,133","112,843","16,961",
"   Rate per 100,000 inhabitants",,"3,982.6", ,334.0,"3,648.6",3.1,41.2,70.5,219.1,,630.8,"2,623.5",394.3,
,,,,, , , ,, ,, , ,,
CONNECTICUT,,,, , ,,,,,,,,,
,,,,, ,,,,,,,,,
Metropolitan Statistical Area,"2,836,568",,,,,,,,,,,,,
   Area actually reporting,100.0%,"99,866", ,"9,740","90,126",97,607,"3,720","5,316",,"15,154","62,619","12,353",
Cities outside metropolitan areas,"72,942",,,,,,,,,,,,,
   Area actually reporting,100.0%,"2,295",,227,"2,068",--,9,33,185,,370,"1,577",121,
Rural,"496,055",,,,,,,,,,,,,
   Area actually reporting,100.0%,"7,930",,"1,091","6,839",1,62,79,949,,"1,912","4,302",625,
State Total,"3,405,565",#VALUE!,,"11,058", ,98,678,"3,832","6,450",,"17,436","68,498","13,099",
"   Rate per 100,000 inhabitants",,#VALUE!, ,324.7,#VALUE!,2.9,19.9,112.5,189.4,,512.0,"2,011.4",384.6,
,,,,, , , , , ,, , ,,
DELAWARE4,,,,,,,,,,, ,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"642,152",,,,,,,,,,,,,
   Area actually reporting,100.0%,, ,,"25,526",22,,"1,280",296,,"4,193","18,333","3,000",
Cities outside metropolitan areas,"34,223",,,,,,,,,,,,,
   Area actually reporting,100.0%,,,,"1,795",,,66,216,,293,"1,449",53,
Rural,"107,225",,,,,, ,,,,,,,
   Area actually reporting,100.0%,,,,"2,406",3,,48,508,,730,"1,578",98,
State Total,"783,600","35,090",,"5,363","29,727",25,424,"1,394","3,520",,"5,216","21,360","3,151",
"   Rate per 100,000 inhabitants",,"4,478.1",,684.4,"3,793.6",3.2,54.1,177.9,449.2,,665.6,"2,725.9",402.1,
,,,,,, ,,, ,, , ,,
DISTRICT OF COLUMBIA5,, ,, , ,,,,,,,,,
,,,, ,,,,,,,,,,
Metropolitan Statistical Area,"572,059",,,,,,,,,,,,,
   Area actually reporting,100.0%,"41,626",,"8,626","33,000",239,251,"3,554","4,582",,"4,745","21,655","6,600",
Cities outside metropolitan areas,None,, ,,,,,,,,,,,
Rural,None,, ,,,,,,,,,,,
Total,"572,059","41,626",,"8,626","33,000",239,251,"3,554","4,582",,"4,745","21,655","6,600",
"   Rate per 100,000 inhabitants",,"7,276.5",,"1,507.9","5,768.6",41.8,43.9,621.3,801.0,,829.5,"3,785.4","1,153.7",
,,,, ,, , , ,,, , ,,
FLORIDA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"14,863,033",,, , ,,,,,,,,,
   Area actually reporting,99.5%,"859,616",,"122,600","737,016",840,"6,574","30,780","84,406",,"160,867","489,951","86,198",
   Estimated totals,100.0%,"863,932",,"123,095","740,837",842,"6,597","30,914","84,742",,"161,641","492,580","86,616",
Cities outside metropolitan areas,"244,578",,,,,,,,,,,,,
   Area actually reporting,90.3%,"15,475",,"2,179","13,296",18,110,452,"1,599",,"3,066","9,405",825,
   Estimated totals,100.0%,"17,147",,"2,415","14,732",20,122,501,"1,772",,"3,397","10,421",914,
Rural,"874,767",, ,,,,,,,,,,,
   Area actually reporting,93.1%,"27,063",,"3,972","23,091",38,315,367,"3,252",,"7,316","14,238","1,537",
   Estimated totals,100.0%,"29,075",,"4,267","24,808",41,338,394,"3,494",,"7,860","15,297","1,651",
State Total,"15,982,378","910,154",,"129,777","780,377",903,"7,057","31,809","90,008",,"172,898","518,298","89,181",
"   Rate per 100,000 inhabitants",,"5,694.7", ,812.0,"4,882.7",5.6,44.2,199.0,563.2,0.0,"1,081.8","3,242.9",558.0,
,,,, ,,,,,,,,,,
GEORGIA,, ,,,,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"5,660,230",,,,,,,,,,,,,
   Area actually reporting,98.4%,"284,929",,"30,084","254,845",474,"1,462","11,304","16,844",,"49,389","172,496","32,960",
   Estimated totals,100.0%,"291,302",,"30,604","260,698",481,"1,489","11,476","17,158",,"50,278","176,886","33,534",
Cities outside metropolitan areas,"918,038",,,,,,,,,,,,,
   Area actually reporting,86.8%,"51,239",,"5,946","45,293",75,246,"1,186","4,439",,"7,801","35,321","2,171",
   Estimated totals,100.0%,"59,050",,"6,853","52,197",86,284,"1,367","5,116",,"8,990","40,705","2,502",
Rural,"1,608,185",, ,,,,,,,,,,,
   Area actually reporting,83.0%,"32,028",,"3,205","28,823",70,162,338,"2,635",,"7,651","18,960","2,212",
   Estimated totals,100.0%,"38,597",,"3,862","34,735",84,195,407,"3,176",,"9,220","22,849","2,666",
State Total,"8,186,453","388,949",,"41,319","347,630",651,"1,968","13,250","25,450",,"68,488","240,440","38,702",
"   Rate per 100,000 inhabitants",,"4,751.1", ,504.7,"4,246.4",8.0,24.0,161.9,310.9,0.0,836.6,"2,937.0",472.8,
,,,,,,,,,,,,,,
HAWAII,,,, , ,,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"883,621",,,,,,,,,,,,,
   Area actually reporting,100.0%,"46,659",,"2,302","44,357",20,240,984,"1,058",,"6,946","32,197","5,214",
Cities outside metropolitan areas,None,,,,,,,,,,,,,
Rural,"327,916",,,,,,,,,,,,,
   Area actually reporting,100.0%,"16,328", ,652,"15,676",15,106,139,392,,"3,719","11,057",900,
State Total,"1,211,537","62,987",,"2,954","60,033",35,346,"1,123","1,450",,"10,665","43,254","6,114",
"   Rate per 100,000 inhabitants",,"5,198.9", ,243.8,"4,955.1",2.9,28.6,92.7,119.7,0.0,880.3,"3,570.2",504.6,
,, ,,,,,,,,,,,,
IDAHO,, ,,,,,,,,,,,,
,,,, ,,,,,,,,,,
Metropolitan Statistical Area,"499,021",,,, ,,,,,,,,,
   Area actually reporting,100.0%,"19,687",,"1,489","18,198",6,156,112,"1,215",,"3,411","13,836",951,
Cities outside metropolitan areas,"374,974",,,,,,,,,,,,,
   Area actually reporting,96.9%,"14,524",,"1,050","13,474",2,125,89,834,,"2,361","10,448",665,
   Estimated totals,100.0%,"14,978",,"1,083","13,895",2,129,92,860,,"2,435","10,774",686,
Rural,"419,958",, ,,,,,,,,,,,
   Area actually reporting,100.0%,"6,558",,695,"5,863",8,99,19,569,,"1,483","3,931",449,
State Total,"1,293,953","41,228",,"3,267","37,961",16,384,223,"2,644",,"7,330","28,545","2,086",
"   Rate per 100,000 inhabitants",,"3,186.2", ,252.5,"2,933.7",1.2,29.7,17.2,204.3,0.0,566.5,"2,206.0",161.2,
,,,,,,,,,,,,,,
ILLINOIS6,, ,, , ,,,,,,,,,
,,,,,,,,,,,,,,
State Total,"12,419,293","532,315",,"81,567","450,748",891,"4,090","25,758","50,828",,"81,913","312,692","56,143",
"   Rate per 100,000 inhabitants",,"4,286.2", ,656.8,"3,629.4",7.2,32.9,207.4,409.3,0.0,659.6,"2,517.8",452.1,
,,,,,,,,,,,,,,
INDIANA,,,, , ,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"4,364,592",,,,,,,,,,,,,
   Area actually reporting,86.0%,"157,922", ,"16,254","141,668",285,"1,256","5,564","9,149",,"28,208","97,222","16,238",
   Estimated totals,100.0%,"175,947",,"17,418","158,529",298,"1,367","5,780","9,973",,"31,088","109,856","17,585",
Cities outside metropolitan areas,"592,106",,,,,,,,,,,,,
   Area actually reporting,82.9%,"24,661",,"1,171","23,490",21,146,297,707,,"3,734","18,374","1,382",
   Estimated totals,100.0%,"29,747",,"1,412","28,335",25,176,358,853,,"4,504","22,164","1,667",
Rural,"1,123,787",,,,,,,,,,,,,
   Area actually reporting,41.6%,"9,341",,999,"8,342",12,90,60,837,,"2,296","5,281",765,
   Estimated totals,100.0%,"22,441",,"2,400","20,041",29,216,144,"2,011",,"5,516","12,687","1,838",
State Total,"6,080,485","228,135",,"21,230","206,905",352,"1,759","6,282","12,837",,"41,108","144,707","21,090",
"   Rate per 100,000 inhabitants",,"3,751.9", ,349.1,"3,402.8",5.8,28.9,103.3,211.1,0.0,676.1,"2,379.9",346.8,
,,,,,,,,,,,,,,
IOWA,, , ,,,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"1,224,746",,, ,,,,,,,,,,
   Area actually reporting,99.2%,"57,878",,"5,183","52,695",36,445,902,"3,800",,"9,343","39,635","3,717",
   Estimated totals,100.0%,"58,316",,"5,213","53,103",36,449,906,"3,822",,"9,404","39,953","3,746",
Cities outside metropolitan areas,"804,708",,,,,,,,,,,,,
   Area actually reporting,86.2%,"25,209",,"1,826","23,383",8,160,136,"1,522",,"4,083","18,303",997,
   Estimated totals,100.0%,"29,231",,"2,118","27,113",9,186,158,"1,765",,"4,734","21,223","1,156",
Rural,"896,870",,,,,,,,,,,,,
   Area actually reporting,100.0%,"7,083",,465,"6,618",1,41,7,416,,"2,204","3,942",472,
State Total,"2,926,324","94,630",,"7,796","86,834",46,676,"1,071","6,003",,"16,342","65,118","5,374",
"   Rate per 100,000 inhabitants",,"3,233.7", ,266.4,"2,967.3",1.6,23.1,36.6,205.1,0.0,558.4,"2,225.2",183.6,
,,,,,,,,,,,,,,
KANSAS6,, ,, , ,,,,,,,,,
,,,,,,,,,,,,,,
State Total,"2,688,418","118,527",,"10,470","108,057",169,"1,022","2,048","7,231",,"21,484","80,077","6,496",
"   Rate per 100,000 inhabitants",,"4,408.8", ,389.4,"4,019.4",6.3,38.0,76.2,269.0,0.0,799.1,"2,978.6",241.6,
,, ,,,,,,,,,,,,
KENTUCKY6,, ,,, ,,,,,,,,,
,,,,,,,,,,,,,,
State Total,"4,041,769","119,626",,"11,903","107,723",193,"1,091","3,256","7,363",,"25,308","73,141","9,274",
"   Rate per 100,000 inhabitants",,"2,959.7", ,294.5,"2,665.2",4.8,27.0,80.6,182.2,0.0,626.2,"1,809.6",229.5,
,,,,,,,,,,,,,,
LOUISIANA,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"3,360,587", ,, , ,,,,,,,,,
   Area actually reporting,96.1%,"197,577",,"23,500","174,077",467,"1,214","6,848","14,971",,"36,624","117,875","19,578",
   Estimated totals,100.0%,"204,275",,"24,250","180,025",474,"1,250","6,983","15,543",,"37,834","122,155","20,036",
Cities outside metropolitan areas,"385,778",,,,,,,,,,,,,
   Area actually reporting,77.1%,"16,191",,"2,285","13,906",22,81,248,"1,934",,"3,157","10,295",454,
   Estimated totals,100.0%,"21,002",,"2,965","18,037",29,105,322,"2,509",,"4,095","13,353",589,
Rural,"722,611",,,,,,,,,,,,,
   Area actually reporting,92.8%,"15,835",,"2,993","12,842",53,132,211,"2,597",,"4,045","8,199",598,
   Estimated totals,100.0%,"17,067",,"3,225","13,842",57,142,227,"2,799",,"4,360","8,837",645,
State Total,"4,468,976","242,344",,"30,440","211,904",560,"1,497","7,532","20,851",,"46,289","144,345","21,270",
"   Rate per 100,000 inhabitants",,"5,422.8", ,681.1,"4,741.7",12.5,33.5,168.5,466.6,0.0,"1,035.8","3,229.9",475.9,
,,,,,,,,,,,,,,
MAINE,, ,,,,,,,,,,,,
,, ,, , ,,,,,,,,,
Metropolitan Statistical Area,"477,927",,,,,,,,,,,,,
   Area actually reporting,100.0%,"14,787",,654,"14,133",2,167,164,321,,"2,717","10,903",513,
Cities outside metropolitan areas,"432,856",,,,,,,,,,,,,
   Area actually reporting,99.0%,"13,180",,553,"12,627",4,109,65,375,,"2,087","10,063",477,
   Estimated totals,100.0%,"13,309",,559,"12,750",4,110,66,379,,"2,107","10,161",482,
Rural,"364,140",,,,,,,,,,,,,
   Area actually reporting,100.0%,"5,304",,184,"5,120",9,43,17,115,,"1,951","2,842",327,
State Total,"1,274,923","33,400",,"1,397","32,003",15,320,247,815,,"6,775","23,906","1,322",
"   Rate per 100,000 inhabitants",,"2,619.8", ,109.6,"2,510.2",1.2,25.1,19.4,63.9,0.0,531.4,"1,875.1",103.7,
,, ,,,,,,,,,,,,
MARYLAND,, ,,,,,,,,,,,,
,,,, , ,,,,,,,,,
Metropolitan Statistical Area,"4,909,697",,,,,,,,,,,,,
   Area actually reporting,100.0%,"240,480",,"39,516","200,964",417,"1,427","13,279","24,393",,"36,654","136,299","28,011",
Cities outside metropolitan areas,"93,537",,,,,,,,,,,,,
   Area actually reporting,100.0%,"8,455",,"1,160","7,295",2,49,212,897,,"1,260","5,731",304,
Rural,"293,252",,,,,,,,,,,,,
   Area actually reporting,100.0%,"6,150",,987,"5,163",11,67,69,840,,"1,512","3,393",258,
State Total,"5,296,486","255,085",,"41,663","213,422",430,"1,543","13,560","26,130",,"39,426","145,423","28,573",
"   Rate per 100,000 inhabitants",,"4,816.1", ,786.6,"4,029.5",8.1,29.1,256.0,493.3,0.0,744.4,"2,745.7",539.5,
,,,, , ,,,,,,,,,
MASSACHUSETTS,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"6,039,345",,,,,,,,,,,,,
   Area actually reporting,97.5%,"178,018",,"26,952","151,066",120,"1,589","5,721","19,522",,"27,897","98,159","25,010",
   Estimated totals,100.0%,"182,831",,"28,920","153,911",121,"1,611","5,774","21,414",,"28,393","100,180","25,338",
Cities outside metropolitan areas,"300,054",,,,,,,,,,,,,
   Area actually reporting,91.8%,"8,235",,920,"7,315",4,77,38,801,,"2,021","4,805",489,
   Estimated totals,100.0%,"9,273",,"1,304","7,969",4,84,41,"1,175",,"2,202","5,234",533,
Rural,"9,697",,,,,,,,,,,,,
   Area actually reporting,100.0%,27,,6,21,--,1,--,5,,5,11,5,
State Total,"6,349,097","192,131",,"30,230","161,901",125,"1,696","5,815","22,594",,"30,600","105,425","25,876",
"   Rate per 100,000 inhabitants",,"3,026.1", ,476.1,"2,550.0",2.0,26.7,91.6,355.9,0.0,482.0,"1,660.5",407.6,
,,,,,,,,,,,,,,
MICHIGAN,, ,,,,,,,,,,,,
,,,, ,,,,,,,,,,
Metropolitan Statistical Area,"8,197,026",,,,,,,,,,,,,
   Area actually reporting,98.4%,"358,981",,"50,794","308,187",629,"3,892","13,461","32,812",,"59,573","195,545","53,069",
   Estimated totals,100.0%,"363,797", ,"51,242","312,555",631,"3,937","13,554","33,120",,"60,261","198,665","53,629",
Cities outside metropolitan areas,"597,951",,,,,,,,,,,,,
   Area actually reporting,91.4%,"17,946", ,"1,209","16,737",5,261,74,869,,"2,161","13,918",658,
   Estimated totals,100.0%,"19,629",,"1,322","18,307",5,285,81,951,,"2,364","15,223",720,
Rural,"1,143,467",,,,,,,,,,,,,
   Area actually reporting,98.1%,"24,567",,"2,547","22,020",32,788,76,"1,651",,"7,032","13,638","1,350",
   Estimated totals,100.0%,"25,030",,"2,595","22,435",33,803,77,"1,682",,"7,165","13,895","1,375",
State Total,"9,938,444","408,456",,"55,159","353,297",669,"5,025","13,712","35,753",,"69,790","227,783","55,724",
"   Rate per 100,000 inhabitants",,"4,109.9", ,555.0,"3,554.9",6.7,50.6,138.0,359.7,0.0,702.2,"2,291.9",560.7,
,,,,,,,,,,,,,,
MINNESOTA7,,,, , ,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"3,457,850",,,,,,,,,,,,,
   Area actually reporting,99.9%,"134,564",,"11,620","122,944",123,"1,617","3,582","6,298",,"18,591","93,254","11,099",
   Estimated totals,100.0%,"134,589",,"11,621","122,968",123,"1,617","3,582","6,299",,"18,594","93,274","11,100",
Cities outside metropolitan areas,"556,013",,,,,,,,,,,,,
   Area actually reporting,100.0%,"21,758",,"1,265","20,493",10,304,95,856,,"3,012","16,341","1,140",
Rural,"905,616",,,,,,,,,,,,,
   Area actually reporting,100.0%,"15,264",,927,"14,337",18,319,36,554,,"4,510","8,635","1,192",
State Total,"4,919,479","171,611",,"13,813","157,798",151,"2,240","3,713","7,709",,"26,116","118,250","13,432",
"   Rate per 100,000 inhabitants",,"3,488.4", ,280.8,"3,207.6",3.1,45.5,75.5,156.7,0.0,530.9,"2,403.7",273.0,
,, ,,,,,,,,,,,,
MISSISSIPPI,,,,,,,,,,,,,,
,, ,,, ,,,,,,,,,
Metropolitan Statistical Area,"1,024,685", ,, ,,,,,,,,,,
   Area actually reporting,84.2%,"45,463",,"3,266","42,197",53,369,"1,165","1,679",,"9,150","29,786","3,261",
   Estimated totals,100.0%,"50,696",,"3,596","47,100",64,421,"1,253","1,858",,"10,552","33,019","3,529",
Cities outside metropolitan areas,"680,988",,,,,,,,,,,,,
   Area actually reporting,70.8%,"30,544",,"2,357","28,187",61,268,769,"1,259",,"6,493","20,116","1,578",
   Estimated totals,100.0%,"43,120",,"3,325","39,795",86,379,"1,084","1,776",,"9,168","28,403","2,224",
Rural,"1,138,985",,,,,,,,,,,,,
   Area actually reporting,41.2%,"8,254",,"1,375","6,879",43,90,150,"1,092",,"2,960","3,421",498,
   Estimated totals,100.0%,"20,051",,"3,341","16,710",105,219,364,"2,653",,"7,190","8,310","1,210",
State Total,"2,844,658","113,911",,"10,267","103,644",255,"1,019","2,703","6,290",,"26,918","69,758","6,968",
"   Rate per 100,000 inhabitants",,"4,004.4", ,360.9,"3,643.5",9.0,35.8,95.0,221.1,0.0,946.3,"2,452.2",245.0,
,,,,,,,,,,,,,,
MISSOURI,,,,,,,,,,,,,,
,, ,,, ,,,,,,,,,
Metropolitan Statistical Area,"3,803,850", ,, ,,,,,,,,,,
   Area actually reporting,95.2%,"204,680",,"22,606","182,074",308,959,"7,208","14,131",,"31,510","127,993","22,571",
   Estimated totals,100.0%,"210,469",,"23,026","187,443",312,988,"7,294","14,432",,"32,389","132,058","22,996",
Cities outside metropolitan areas,"531,581",,,,,,,,,,,,,
   Area actually reporting,87.7%,"23,126",,"2,018","21,108",10,181,224,"1,603",,"3,470","16,858",780,
   Estimated totals,100.0%,"26,375",,"2,300","24,075",11,206,255,"1,828",,"3,958","19,227",890,
Rural,"1,259,780",,,,,,,,,,,,,
   Area actually reporting,51.4%,"8,482",,"1,076","7,406",12,81,25,958,,"2,745","4,245",416,
   Estimated totals,100.0%,"16,494",,"2,093","14,401",24,157,49,"1,863",,"5,338","8,254",809,
State Total,"5,595,211","253,338",,"27,419","225,919",347,"1,351","7,598","18,123",,"41,685","159,539","24,695",
"   Rate per 100,000 inhabitants",,"4,527.8", ,490.0,"4,037.7",6.2,24.1,135.8,323.9,0.0,745.0,"2,851.3",441.4,
,, ,,,,,,,,,,,,
MONTANA6,, ,, , ,,,,,,,,,
,,,,,,,,,,,,,,
State Total,"902,195","31,878",,"2,171","29,707",16,301,249,"1,605",,"3,946","23,805","1,956",
"   Rate per 100,000 inhabitants",,"3,533.4", ,240.6,"3,292.7",1.8,33.4,27.6,177.9,0.0,437.4,"2,638.6",216.8,
,, ,, ,,,,,,,,,,
NEBRASKA,,,,, ,,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"892,842",,,,,,,,,,,,,
   Area actually reporting,100.0%,"47,967",,"4,665","43,302",46,303,"1,065","3,251",,"6,283","32,674","4,345",
Cities outside metropolitan areas,"409,604",,,,,,,,,,,,,
   Area actually reporting,90.0%,"14,489",,577,"13,912",7,77,65,428,,"2,078","11,288",546,
   Estimated totals,100.0%,"16,093",,641,"15,452",8,86,72,475,,"2,308","12,538",606,
Rural,"408,817",,,,,,,,,,,,,
   Area actually reporting,94.1%,"5,666",,281,"5,385",8,44,9,220,,"1,449","3,674",262,
   Estimated totals,100.0%,"6,025",,300,"5,725",9,47,10,234,,"1,540","3,906",279,
State Total,"1,711,263","70,085",,"5,606","64,479",63,436,"1,147","3,960",,"10,131","49,118","5,230",
"   Rate per 100,000 inhabitants",,"4,095.5", ,327.6,"3,767.9",3.7,25.5,67.0,231.4,0.0,592.0,"2,870.3",305.6,
,, ,, ,,,,,,,,,,
NEVADA,, ,,, ,,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"1,730,344",,,,,,,,,,,,,
   Area actually reporting,100.0%,"78,498",,"9,637","68,861",122,769,"4,469","4,277",,"16,059","40,008","12,794",
Cities outside metropolitan areas,"54,155",,,,,,,,,,,,,
   Area actually reporting,100.0%,"1,885",,147,"1,738",1,18,27,101,,287,"1,356",95,
Rural,"213,758",,,,,,,,,,,,,
   Area actually reporting,100.0%,"4,914",,690,"4,224",6,73,47,564,,"1,180","2,761",283,
State Total,"1,998,257","85,297",,"10,474","74,823",129,860,"4,543","4,942",,"17,526","44,125","13,172",
"   Rate per 100,000 inhabitants",,"4,268.6", ,524.2,"3,744.4",6.5,43.0,227.3,247.3,0.0,877.1,"2,208.2",659.2,
,,,,,,,,,,,,,,
NEW HAMPSHIRE8,, ,, , ,,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"752,094",,,,,,,,,,,,,
   Area actually reporting,73.8%,"15,892",,"1,260","14,632",12,243,366,639,,"2,503","10,748","1,381",
