Table 5,,,,,,,,,,,,,
Crime in the United States,,,, ,,,,,,,,,
"by State, 2014",,,,,,,, ,,,,,
State,Area,,Population,Violent crime1,"Murder and 
nonnegligent 
manslaughter","Rape
(revised
definition)2","Rape
(legacy
definition)3",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft"
,State Total,,"5,457,173","12,505",88,"2,001","1,452","3,687","6,729","125,377","20,773","96,237","8,367"
,,"Rate per 100,000 inhabitants",,229.1,1.6,36.7,26.6,67.6,123.3,"2,297.5",380.7,"1,763.5",153.3
MISSISSIPPI5,Metropolitan Statistical Area,,"1,365,250", ,,,,,,,,,
,,Area actually reporting,72.7%,"3,137",104,400,299,"1,214","1,419","32,956","8,088","22,660","2,208"
,,Estimated total,100.0%,"3,739",122,463,346,"1,344","1,810","40,942","9,959","28,361","2,622"
,Cities outside metropolitan areas,,"588,934",,,,,,,,,,
,,Area actually reporting,48.5%,"1,404",40,150,111,444,770,"15,536","4,055","10,933",548
,,Estimated total,100.0%,"2,898",82,311,238,916,"1,589","32,064","8,369","22,564","1,131"
,Nonmetropolitan counties,,"1,039,895",,,,,,,,,,
,,Area actually reporting,42.4%,716,23,115,73,72,506,"6,134","2,556","3,253",325
,,Estimated total,100.0%,"1,701",54,284,180,170,"1,193","14,456","6,024","7,666",766
,State Total,,"2,994,079","8,338",258,"1,058",764,"2,430","4,592","87,462","24,352","58,591","4,519"
,,"Rate per 100,000 inhabitants",,278.5,8.6,35.3,25.5,81.2,153.4,"2,921.2",813.3,"1,956.9",150.9
MISSOURI4,Metropolitan Statistical Area,,"4,507,971", ,,,,,,,,,
,,Area actually reporting,99.9%,"22,257",348,"2,002","1,441","5,295","14,612","140,143","27,421","98,371","14,351"
,,Estimated total,100.0%,"22,258",348,"2,002","1,441","5,295","14,613","140,163","27,424","98,387","14,352"
,Cities outside metropolitan areas,,"665,780",,,,,,,,,,
,,Area actually reporting,99.6%,"2,649",22,217,160,255,"2,155","24,487","4,085","19,441",961
,,Estimated total,100.0%,"2,658",22,217,160,256,"2,163","24,581","4,101","19,515",965
,Nonmetropolitan counties,,"889,838",,,,,,,,,,
,,Area actually reporting,100.0%,"1,940",33,160,105,41,"1,706","11,493","3,733","6,720","1,040"
,State Total,,"6,063,589","26,856",403,"2,379","1,706","5,592","18,482","176,237","35,258","124,622","16,357"
,,"Rate per 100,000 inhabitants",,442.9,6.6,39.2,28.1,92.2,304.8,"2,906.5",581.5,"2,055.3",269.8
MONTANA4,Metropolitan Statistical Area,,"362,656", ,,,,,,,,,
,,Area actually reporting,100.0%,"1,049",14,191,145,133,711,"11,788","1,538","9,329",921
,Cities outside metropolitan areas,,"215,364",,,,,,,,,,
,,Area actually reporting,98.0%,"1,169",14,196,160,42,917,"7,073",976,"5,514",583
,,Estimated total,100.0%,"1,194",14,201,164,43,936,"7,219",996,"5,628",595
,Nonmetropolitan counties,,"445,559",,,,,,,,,,
,,Area actually reporting,94.0%,"1,003",8,138,114,25,832,"5,930",998,"4,436",496
,,Estimated total,100.0%,"1,070",9,149,121,27,885,"6,305","1,061","4,717",527
,State Total,,"1,023,579","3,313",37,541,430,203,"2,532","25,312","3,595","19,674","2,043"
,,"Rate per 100,000 inhabitants",,323.7,3.6,52.9,42.0,19.8,247.4,"2,472.9",351.2,"1,922.1",199.6
NEBRASKA5,Metropolitan Statistical Area,,"1,210,548",,,,,,,,,,
,,Area actually reporting,99.2%,"4,086",42,588,427,987,"2,469","36,129","5,735","26,472","3,922"
,,Estimated total,100.0%,"4,097",42,591,430,989,"2,475","36,288","5,759","26,599","3,930"
,Cities outside metropolitan areas,,"338,087",,,,,,,,,,
,,Area actually reporting,91.0%,817,4,191,139,45,577,"7,954","1,360","6,279",315
,,Estimated total,100.0%,900,4,213,157,49,634,"8,736","1,494","6,896",346
,Nonmetropolitan counties,,"332,868",,,,,,,,,,
,,Area actually reporting,78.7%,214,6,41,24,4,163,"1,933",549,"1,243",141
,,Estimated total,100.0%,278,8,58,33,5,207,"2,455",697,"1,579",179
,State Total,,"1,881,503","5,275",54,862,620,"1,043","3,316","47,479","7,950","35,074","4,455"
,,"Rate per 100,000 inhabitants",,280.4,2.9,45.8,33.0,55.4,176.2,"2,523.5",422.5,"1,864.1",236.8
NEVADA4,Metropolitan Statistical Area,,"2,565,531",,,,,,,,,,
,,Area actually reporting,100.0%,"17,199",157,"1,233",909,"5,903","9,906","69,217","20,344","39,084","9,789"
,Cities outside metropolitan areas,,"48,964",,,,,,,,,,
,,Area actually reporting,100.0%,348,4,45,34,17,282,"1,931",555,"1,235",141
,Nonmetropolitan counties,,"224,604",,,,,,,,,,
,,Area actually reporting,97.9%,486,9,76,50,33,368,"3,321","1,007","2,064",250
,,Estimated total,100.0%,498,9,79,52,34,376,"3,390","1,028","2,107",255
,State Total,,"2,839,099","18,045",170,"1,357",995,"5,954","10,564","74,538","21,927","42,426","10,185"
,,"Rate per 100,000 inhabitants",,635.6,6.0,47.8,35.0,209.7,372.1,"2,625.4",772.3,"1,494.3",358.7
NEW HAMPSHIRE4,Metropolitan Statistical Area,,"830,790",,,,,,,,,,
,,Area actually reporting,96.4%,"1,702",11,323,250,421,947,"15,633","2,403","12,679",551
,,Estimated total,100.0%,"1,745",11,336,261,428,970,"16,125","2,474","13,085",566
,Cities outside metropolitan areas,,"442,983",,,,,,,,,,
,,Area actually reporting,86.7%,684,1,206,158,93,384,"8,304","1,379","6,686",239
,,Estimated total,100.0%,795,1,244,188,107,443,"9,575","1,590","7,709",276
,Nonmetropolitan counties,,"53,040",,,,,,,,,,
,,Area actually reporting,100.0%,62,0,14,9,2,46,341,98,228,15
,State Total,,"1,326,813","2,602",12,594,458,537,"1,459","26,041","4,162","21,022",857
,,"Rate per 100,000 inhabitants",,196.1,0.9,44.8,34.5,40.5,110.0,"1,962.7",313.7,"1,584.4",64.6
NEW JERSEY,Metropolitan Statistical Area,,"8,938,175",,,,,,,,,,
,,Area actually reporting,100.0%,"23,346",349,"1,274",953,"10,498","11,225","154,993","31,710","111,578","11,705"
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,State Total,,"8,938,175","23,346",349,"1,274",953,"10,498","11,225","154,993","31,710","111,578","11,705"
,,"Rate per 100,000 inhabitants",,261.2,3.9,14.3,10.7,117.5,125.6,"1,734.1",354.8,"1,248.3",131.0
NEW MEXICO,Metropolitan Statistical Area,,"1,390,853", ,,,,,, ,,,
,,Area actually reporting,99.9%,"8,653",63,"1,031",751,"1,771","5,788","51,763","12,135","34,681","4,947"
,,Estimated total,100.0%,"8,656",63,"1,031",751,"1,771","5,791","51,785","12,140","34,697","4,948"
,Cities outside metropolitan areas,,"397,993",,,,,,,,,,
,,Area actually reporting,97.9%,"2,847",28,338,252,259,"2,222","17,471","4,290","12,284",897
,,Estimated total,100.0%,"2,908",29,345,257,265,"2,269","17,844","4,382","12,546",916
,Nonmetropolitan counties,,"296,726",,,,,,,,,,
