Table 5,,,,,,,,,,,,,
Crime in the United States,, ,,,,,,,,,,,
"by State, 2013",,,,,,,, ,,,,,
State,Area,,Population,"Violent
crime1","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)2","Rape
(legacy
definition)3",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,,Estimated total,100.0%,"2,378",41,631,490,115,"1,591","9,528","2,789","5,546","1,193"
,Nonmetropolitan counties, ,"225,339",,,,,,,,,,
,,Area actually reporting,100.0%,389,1,13,10,12,363,"2,098",741,"1,168",189
,State Total,,"6,626,624","27,599",357,"3,050","2,343","6,702","17,490","225,243","48,533","159,272","17,438"
,,"Rate per 100,000 inhabitants",,416.5,5.4,46.0,35.4,101.1,263.9,"3,399.1",732.4,"2,403.5",263.2
ARKANSAS4,Metropolitan Statistical Area,,"1,803,197",,,,,,,,,,
,,Area actually reporting,96.1%,,100,898,,"1,852","6,781","69,888","18,297","47,716","3,875"
,,Estimated total,100.0%,"9,872",101,928,648,"1,865","6,978","71,483","18,856","48,636","3,991"
,Cities outside metropolitan areas,,"509,967",, ,,,,,,,,
,,Area actually reporting ,92.5%,,25,272,,316,"1,590","20,733","6,846","13,112",775
,,Estimated total,100.0%,"2,382",27,294,205,342,"1,719","22,416","7,402","14,176",838
,Nonmetropolitan counties,,"646,209",,,,,,,,,,
,,Area actually reporting,92.3%,,29,186,,47,"1,001","11,739","3,903","7,052",784
,,Estimated total,100.0%,"1,367",31,201,140,51,"1,084","12,714","4,227","7,638",849
,State Total,,"2,959,373","13,621",159,"1,423",993,"2,258","9,781","106,613","30,485","70,450","5,678"
,,"Rate per 100,000 inhabitants",,460.3,5.4,48.1,33.6,76.3,330.5,"3,602.6","1,030.1","2,380.6",191.9
CALIFORNIA,Metropolitan Statistical Area,,"37,497,856",,,,,,,,,,
,,Area actually reporting,99.9%,,"1,711",,"7,183","53,239","86,136","998,309","225,528","609,730","163,051"
,,Estimated total,100.0%,"150,459","1,711","9,349","7,184","53,247","86,152","998,514","225,576","609,857","163,081"
,Cities outside metropolitan areas,,"271,108",,,,,,,,,,
,,Area actually reporting,100.0%,"1,661",15,141,108,244,"1,261","10,846","2,848","7,146",852
,Nonmetropolitan counties,,"563,557",,,,,,,,,,
,,Area actually reporting,100.0%,"2,009",20,224,172,149,"1,616","9,547","3,634","4,554","1,359"
,State Total,,"38,332,521","154,129","1,746","9,714","7,464","53,640","89,029","1,018,907","232,058","621,557","165,292"
,,"Rate per 100,000 inhabitants",,402.1,4.6,25.3,19.5,139.9,232.3,"2,658.1",605.4,"1,621.5",431.2
COLORADO4,Metropolitan Statistical Area,,"4,578,645",,,,,, ,,,,
,,Area actually reporting,98.3%,,154,"2,620",,"3,073","8,995","126,908","22,739","92,275","11,894"
,,Estimated total,100.0%,"14,979",156,"2,651","1,852","3,085","9,087","128,078","22,972","93,108","11,998"
,Cities outside metropolitan areas,,"327,070",,,,,,,,,,
,,Area actually reporting,93.8%,,14,176,,53,516,"8,486","1,275","6,897",314
,,Estimated total,100.0%,809,15,187,131,57,550,"9,047","1,359","7,353",335
,Nonmetropolitan counties,,"362,652",,,,,,,,,,
,,Area actually reporting,97.5%,,7,94,,9,318,"2,860",732,"1,933",195
,,Estimated total,100.0%,438,7,96,67,9,326,"2,932",750,"1,982",200
,State Total,,"5,268,367","16,226",178,"2,934","2,050","3,151","9,963","140,057","25,081","102,443","12,533"
,,"Rate per 100,000 inhabitants",,308.0,3.4,55.7,38.9,59.8,189.1,"2,658.5",476.1,"1,944.5",237.9
CONNECTICUT5,Metropolitan Statistical Area,,"2,942,348",,,,,,,,,,
,,Area actually reporting,100.0%,"8,879",80,842,571,"3,456","4,501","64,527","11,328","47,504","5,695"
,Cities outside metropolitan areas,,"116,380",,,,,,,,,,
,,Area actually reporting,100.0%,148,0,31,26,21,96,"2,071",297,"1,659",115
,Nonmetropolitan counties,,"537,352",,,,,,,,,,
,,Area actually reporting,100.0%,413,6,82,71,53,272,"4,392","1,267","2,713",412
,State Total,,"3,596,080","9,440",86,955,668,"3,530","4,869","70,990","12,892","51,876","6,222"
,,"Rate per 100,000 inhabitants",,262.5,2.4,26.6,18.6,98.2,135.4,"1,974.1",358.5,"1,442.6",173.0
DELAWARE4,Metropolitan Statistical Area,,"925,749",,,,,,,,,,
,,Area actually reporting,100.0%,"4,547",39,379,265,"1,226","2,903","28,378","6,131","20,915","1,332"
,Cities outside metropolitan areas,,None,, ,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,,Area actually reporting,100.0%,2,0,1,1,0,1,1,0,1,0
,State Total,,"925,749","4,549",39,380,266,"1,226","2,904","28,379","6,131","20,916","1,332"
,,"Rate per 100,000 inhabitants",,491.4,4.2,41.0,28.7,132.4,313.7,"3,065.5",662.3,"2,259.4",143.9
"DISTRICT OF COLUMBIA4,7",Metropolitan Statistical Area,,"646,449",,,,,,,,,,
,,Area actually reporting,100.0%,"8,406",103,395,276,"4,078","3,830","31,083","3,316","24,533","3,234"
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,Total,,"646,449","8,406",103,395,276,"4,078","3,830","31,083","3,316","24,533","3,234"
,,"Rate per 100,000 inhabitants",,"1,300.3",15.9,61.1,42.7,630.8,592.5,"4,808.3",513.0,"3,795.0",500.3
FLORIDA4,Metropolitan Statistical Area,,"18,847,207", ,,,,,, ,,,
,,Area actually reporting,99.9%,,936,"6,534",,"22,807","58,111","588,180","133,228","420,827","34,125"
,,Estimated total,100.0%,"88,501",936,"6,543","4,572","22,839","58,183","589,069","133,415","421,479","34,175"
,Cities outside metropolitan areas,,"147,373",,,,,,,,,,
,,Area actually reporting,96.5%,,9,53,,185,870,"6,505","1,529","4,710",266
,,Estimated total,100.0%,"1,158",9,55,37,192,902,"6,742","1,585","4,881",276
,Nonmetropolitan counties,,"558,280",,,,,,,,,,
,,Area actually reporting,94.1%,,25,152,,159,"1,853","10,690","3,685","6,571",434
,,Estimated total,100.0%,"2,327",27,162,113,169,"1,969","11,361","3,916","6,984",461
,State Total,,"19,552,860","91,986",972,"6,760","4,722","23,200","61,054","607,172","138,916","433,344","34,912"
,,"Rate per 100,000 inhabitants",,470.4,5.0,34.6,24.1,118.7,312.3,"3,105.3",710.5,"2,216.3",178.6
GEORGIA,Metropolitan Statistical Area,,"8,216,901",,,,,,,,,,
,,Area actually reporting,99.5%,,479,,"1,647","11,456","16,585","279,224","68,360","186,099","24,765"
,,Estimated total,100.0%,"30,818",480,"2,154","1,655","11,511","16,673","280,934","68,678","187,372","24,884"
,Cities outside metropolitan areas,,"662,073",,,,,,,,,,
,,Area actually reporting,91.9%,,36,,181,700,"2,179","29,435","6,501","22,199",735
,,Estimated total,100.0%,"3,428",39,256,197,762,"2,371","32,025","7,073","24,152",800
,Nonmetropolitan counties,,"1,113,193",,,,,,,,,,
,,Area actually reporting,91.8%,,34,,121,197,"1,717","19,678","5,972","12,658","1,048"
,,Estimated total,100.0%,"2,295",37,172,132,215,"1,871","21,440","6,507","13,791","1,142"
,State Total,,"9,992,167","36,541",556,"2,582","1,984","12,488","20,915","334,399","82,258","225,315","26,826"
,,"Rate per 100,000 inhabitants",,365.7,5.6,25.8,19.9,125.0,209.3,"3,346.6",823.2,"2,254.9",268.5
HAWAII,Metropolitan Statistical Area,,"1,144,335",,,,,,,,,,
,,Area actually reporting,100.0%,"2,849",12,273,210,"1,011","1,553","35,149","5,661","26,292","3,196"
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,"259,719",,,,,,,,,,
,,Area actually reporting,100.0%,684,9,112,86,120,443,"7,726","1,872","5,366",488
,State Total, ,"1,404,054","3,533",21,385,296,"1,131","1,996","42,875","7,533","31,658","3,684"
,,"Rate per 100,000 inhabitants",,251.6,1.5,27.4,21.1,80.6,142.2,"3,053.7",536.5,"2,254.8",262.4
IDAHO4,Metropolitan Statistical Area,,"1,066,771",,,,,,, ,,,
,,Area actually reporting,99.9%,,13,474,,178,"1,774","21,382","4,409","15,890","1,083"
,,Estimated total,100.0%,"2,440",13,474,331,178,"1,775","21,391","4,411","15,897","1,083"
,Cities outside metropolitan areas,,"248,535",,,,,,,,,,
,,Area actually reporting,100.0%,581,6,98,68,30,447,"5,413","1,113","4,078",222
,Nonmetropolitan counties, ,"296,830",,,,,,,, ,,
,,Area actually reporting,100.0%,477,8,83,58,12,374,"3,251","1,116","1,904",231
,State Total,,"1,612,136","3,498",27,655,457,220,"2,596","30,055","6,640","21,879","1,536"
,,"Rate per 100,000 inhabitants",,217.0,1.7,40.6,28.3,13.6,161.0,"1,864.3",411.9,"1,357.1",95.3
ILLINOIS5,Metropolitan Statistical Area,,"11,373,567",,,,,,,,,,
,,Area actually reporting,96.8%,,672,,"2,786","17,272","23,387","259,745","50,706","189,093","19,946"
,,Estimated total,100.0%,"45,763",680,"3,737","2,866","17,502","23,844","266,888","51,966","194,673","20,249"
,Cities outside metropolitan areas,,"830,759",,,,,,,,,,
,,Area actually reporting,86.4%,,19,,277,166,"1,582","17,129","3,712","13,021",396
,,Estimated total,100.0%,"2,458",22,412,321,192,"1,832","19,834","4,298","15,077",459
,Nonmetropolitan counties,,"677,809",,,,,,,,,,
,,Area actually reporting,93.7%,,4,,83,26,569,"5,868","1,849","3,808",211
,,Estimated total,100.0%,753,4,114,89,28,607,"6,261","1,973","4,063",225
,State Total,,"12,882,135","48,974",706,"4,263","3,276","17,722","26,283","292,983","58,237","213,813","20,933"
,,"Rate per 100,000 inhabitants",,380.2,5.5,33.1,25.4,137.6,204.0,"2,274.3",452.1,"1,659.8",162.5
INDIANA5,Metropolitan Statistical Area,,"5,094,468",,,,,,,,,,
,,Area actually reporting,88.4%,,306,,"1,300","6,762","11,535","149,461","34,748","102,557","12,156"
,,Estimated total,100.0%,"21,194",319,"1,852","1,387","6,924","12,099","160,115","36,980","110,263","12,872"
,Cities outside metropolitan areas, ,"520,960",,,,,,,,,,
,,Area actually reporting,76.8%,,10,,108,95,646,"13,531","2,236","10,679",616
,,Estimated total,100.0%,"1,137",13,159,141,124,841,"17,615","2,911","13,902",802
,Nonmetropolitan counties,,"955,474",,,,,,,,,,
,,Area actually reporting,73.8%,,17,,87,44,695,"7,236","2,227","4,618",391
,,Estimated total,100.0%,"1,156",23,131,118,60,942,"9,806","3,018","6,258",530
,State Total,,"6,570,902","23,487",355,"2,142","1,646","7,108","13,882","187,536","42,909","130,423","14,204"
,,"Rate per 100,000 inhabitants",,357.4,5.4,32.6,25.0,108.2,211.3,"2,854.0",653.0,"1,984.9",216.2
IOWA4,Metropolitan Statistical Area,,"1,797,551", ,,,,,,,,,
,,Area actually reporting,97.6%,,28,714,,820,"4,025","47,266","10,301","33,836","3,129"
,,Estimated total,100.0%,"5,653",28,723,505,822,"4,080","47,750","10,428","34,161","3,161"
,Cities outside metropolitan areas,,"601,851",,,,,,,,,,
,,Area actually reporting,91.3%,,6,247,,97,"1,585","14,008","3,258","10,088",662
,,Estimated total,100.0%,"2,119",7,270,189,106,"1,736","15,341","3,568","11,048",725
,Nonmetropolitan counties,,"691,014",,,,,,,,,,
,,Area actually reporting,87.3%,,7,79,,10,443,"4,112","1,635","2,163",314
,,Estimated total,100.0%,616,8,90,63,11,507,"4,709","1,872","2,477",360
,State Total,,"3,090,416","8,388",43,"1,083",757,939,"6,323","67,800","15,868","47,686","4,246"
,,"Rate per 100,000 inhabitants",,271.4,1.4,35.0,24.5,30.4,204.6,"2,193.9",513.5,"1,543.0",137.4
KANSAS5,Metropolitan Statistical Area,,"1,936,336", ,,,,,,,,,
,,Area actually reporting,99.5%,,79,781,,"1,163","4,998","61,168","11,467","44,275","5,426"
,,Estimated total,100.0%,"7,039",79,784,533,"1,164","5,012","61,380","11,502","44,438","5,440"
,Cities outside metropolitan areas,,"619,820",,,,,,,,,,
,,Area actually reporting,94.7%,,15,296,,162,"1,519","17,803","3,799","13,191",813
,,Estimated total,100.0%,"2,103",16,312,229,171,"1,604","18,793","4,010","13,925",858
,Nonmetropolitan counties,,"337,801",,,,,,,,,,
,,Area actually reporting,96.0%,,16,95,,14,542,"4,903","1,789","2,785",329
,,Estimated total,100.0%,696,17,99,73,15,565,"5,107","1,863","2,901",343
,State Total,,"2,893,957","9,838",112,"1,195",835,"1,350","7,181","85,280","17,375","61,264","6,641"
,,"Rate per 100,000 inhabitants",,339.9,3.9,41.3,28.9,46.6,248.1,"2,946.8",600.4,"2,117.0",229.5
KENTUCKY5,Metropolitan Statistical Area,,"2,555,209", ,,,,,, ,,,
,,Area actually reporting,99.7%,,95,848,,"2,737","3,130","76,216","17,632","54,088","4,496"
,,Estimated total,100.0%,"6,825",95,851,578,"2,744","3,135","76,446","17,680","54,258","4,508"
,Cities outside metropolitan areas,,"534,280",,,,,,,,,,
,,Area actually reporting,96.0%,,11,169,,315,422,"14,792","3,046","11,202",544
,,Estimated total,100.0%,955,11,176,127,328,440,"15,417","3,175","11,675",567
,Nonmetropolitan counties,,"1,305,806",,,,,,,,,,
,,Area actually reporting,97.4%,,59,569,,169,607,"11,681","5,218","5,531",932
,,Estimated total,100.0%,"1,442",61,584,421,174,623,"11,994","5,358","5,679",957
,State Total,,"4,395,295","9,222",167,"1,611","1,126","3,246","4,198","103,857","26,213","71,612","6,032"
,,"Rate per 100,000 inhabitants",,209.8,3.8,36.7,25.6,73.9,95.5,"2,362.9",596.4,"1,629.3",137.2
LOUISIANA5,Metropolitan Statistical Area,,"3,853,803", ,,,,,, ,,,
,,Area actually reporting,98.8%,,453,,966,"5,050","13,112","140,871","35,041","97,724","8,106"
,,Estimated total,100.0%,"20,088",456,"1,284",976,"5,087","13,261","142,744","35,385","99,191","8,168"
,Cities outside metropolitan areas,,"278,847",,,,,,,,,,
,,Area actually reporting,78.2%,,19,,84,285,"1,254","10,742","2,686","7,761",295
,,Estimated total,100.0%,"2,126",24,134,107,364,"1,604","13,738","3,435","9,926",377
,Nonmetropolitan counties,,"492,820",,,,,,,,,,
,,Area actually reporting,94.3%,,17,,152,91,"1,371","8,676","2,228","5,868",580
,,Estimated total,100.0%,"1,770",18,201,161,97,"1,454","9,204","2,364","6,225",615
,State Total,,"4,625,470","23,984",498,"1,619","1,244","5,548","16,319","165,686","41,184","115,342","9,160"
,,"Rate per 100,000 inhabitants",,518.5,10.8,35.0,26.9,119.9,352.8,"3,582.0",890.4,"2,493.6",198.0
"MAINE5, 6",Metropolitan Statistical Area,,"779,976",,,,,,,,,,
,,Area actually reporting,100.0%,"1,081",13,250,189,270,548,"19,044","3,785","14,734",525
,Cities outside metropolitan areas,,"267,901",,,,,,,,,,
,,Area actually reporting,100.0%,407,3,117,84,50,237,"7,590","1,408","5,980",202
,Nonmetropolitan counties,,"280,425",,,,,,,,,,
,,Area actually reporting,100.0%,230,8,80,71,15,127,"3,813","1,290","2,336",187
,State Total,,"1,328,302","1,718",24,447,344,335,912,"30,447","6,483","23,050",914
,,"Rate per 100,000 inhabitants",,129.3,1.8,33.7,25.9,25.2,68.7,"2,292.2",488.1,"1,735.3",68.8
MARYLAND,Metropolitan Statistical Area,,"5,775,247",,,,,,,,,,
,,Area actually reporting,100.0%,"27,579",380,"1,499","1,152","9,960","15,740","154,451","31,049","110,069","13,333"
,Cities outside metropolitan areas,,"53,189",,,,,,,,,,
,,Area actually reporting,100.0%,278,0,13,10,71,194,"1,716",313,"1,382",21
,Nonmetropolitan counties,,"100,378",,,,,,,,,,
,,Area actually reporting,100.0%,232,1,20,15,17,194,"1,746",587,"1,095",64
,State Total,,"5,928,814","28,089",381,"1,532","1,177","10,048","16,128","157,913","31,949","112,546","13,418"
,,"Rate per 100,000 inhabitants",,473.8,6.4,25.8,19.9,169.5,272.0,"2,663.5",538.9,"1,898.3",226.3
MASSACHUSETTS5,Metropolitan Statistical Area,,"6,593,377",,,,,,,,,,
,,Area actually reporting,98.7%,,136,,"2,016","6,609","17,645","133,596","29,863","94,792","8,941"
,,Estimated total,100.0%,"27,297",137,"2,659","2,042","6,663","17,838","135,157","30,207","95,912","9,038"
,Cities outside metropolitan areas,,"91,728",,,,,,,,,,
,,Area actually reporting,80.8%,,0,,38,35,214,"1,717",425,"1,224",68
,,Estimated total,100.0%,367,0,59,47,43,265,"2,126",526,"1,516",84
,Nonmetropolitan counties,,"7,719",,,,,,,,,,
,,Area actually reporting,100.0%,3,0,0,0,0,3,2,2,0,0
,State Total,,"6,692,824","27,667",137,"2,718","2,089","6,706","18,106","137,285","30,735","97,428","9,122"
,,"Rate per 100,000 inhabitants",,413.4,2.0,40.6,31.2,100.2,270.5,"2,051.2",459.2,"1,455.7",136.3
MICHIGAN4,Metropolitan Statistical Area,,"8,089,847",,,,,,,,,,
,,Area actually reporting,99.2%,,596,"4,962",,"9,930","24,679","198,626","48,923","126,298","23,405"
,,Estimated total,100.0%,"40,367",597,"4,995","3,495","9,973","24,802","200,180","49,238","127,412","23,530"
,Cities outside metropolitan areas,,"603,348",,,,,,,,,,
,,Area actually reporting,90.0%,,8,492,,69,764,"12,790","1,884","10,616",290
,,Estimated total,100.0%,"1,481",9,546,375,77,849,"14,215","2,094","11,799",322
,Nonmetropolitan counties,,"1,202,427",,,,,,,,,,
,,Area actually reporting,96.0%,,24,"1,010",,53,"1,482","15,307","4,813","9,807",687
,,Estimated total,100.0%,"2,675",25,"1,052",736,55,"1,543","15,939","5,012","10,212",715
,State Total, ,"9,895,622","44,523",631,"6,593","4,606","10,105","27,194","230,334","56,344","149,423","24,567"
,,"Rate per 100,000 inhabitants",,449.9,6.4,66.6,46.5,102.1,274.8,"2,327.6",569.4,"1,510.0",248.3
MINNESOTA4,Metropolitan Statistical Area,,"4,178,564",,,,,,,,,,
,,Area actually reporting,99.9%,,94,"1,514",,"3,576","5,628","108,013","18,230","82,949","6,834"
,,Estimated total,100.0%,"10,813",94,"1,514","1,060","3,576","5,629","108,031","18,232","82,964","6,835"
,Cities outside metropolitan areas,,"490,171",,,,,,,,,,
,,Area actually reporting,100.0%,"1,118",9,245,169,81,783,"13,951","1,962","11,404",585
,Nonmetropolitan counties,,"751,645",,,,,,,,,,
,,Area actually reporting,100.0%,774,11,249,174,17,497,"9,213","2,519","6,148",546
,State Total,,"5,420,380","12,705",114,"2,008","1,403","3,674","6,909","131,195","22,713","100,516","7,966"
,,"Rate per 100,000 inhabitants",,234.4,2.1,37.0,25.9,67.8,127.5,"2,420.4",419.0,"1,854.4",147.0
MISSISSIPPI5,Metropolitan Statistical Area,,"1,361,997", ,,,,,,,,,
,,Area actually reporting,83.9%,,74,,323,"1,363","1,895","36,525","10,137","24,041","2,347"
,,Estimated total,100.0%,"4,139",77,460,355,"1,441","2,161","40,921","11,410","26,910","2,601"
,Cities outside metropolitan areas,,"588,107",,,,,,,,,,
,,Area actually reporting,67.4%,,45,,134,538,813,"17,725","5,031","11,991",703
,,Estimated total,100.0%,"2,336",67,265,204,798,"1,206","26,301","7,465","17,793","1,043"
,Nonmetropolitan counties,,"1,041,103",,,,,,,,,,
,,Area actually reporting,48.9%,,25,,71,83,642,"6,981","2,992","3,625",364
,,Estimated total,100.0%,"1,739",51,205,156,170,"1,313","14,278","6,120","7,414",744
,State Total,,"2,991,207","8,214",195,930,715,"2,409","4,680","81,500","24,995","52,117","4,388"
,,"Rate per 100,000 inhabitants",,274.6,6.5,31.1,23.9,80.5,156.5,"2,724.7",835.6,"1,742.3",146.7
MISSOURI4,Metropolitan Statistical Area,,"4,486,519", ,,,,,,,,,
,,Area actually reporting,99.9%,,310,"1,955",,"5,176","14,317","150,899","30,232","106,390","14,277"
,,Estimated total,100.0%,"21,763",310,"1,956","1,367","5,177","14,320","150,957","30,242","106,435","14,280"
,Cities outside metropolitan areas,,"661,762",,,,,,,,,,
,,Area actually reporting,99.7%,,17,173,,256,"2,073","25,737","4,319","20,400","1,018"
,,Estimated total,100.0%,"2,527",17,174,122,257,"2,079","25,816","4,332","20,463","1,021"
,Nonmetropolitan counties,,"895,890",,,,,,,,,,
,,Area actually reporting,100.0%,"1,907",44,157,110,50,"1,656","12,833","4,291","7,518","1,024"
,State Total,,"6,044,171","26,197",371,"2,287","1,599","5,484","18,055","189,606","38,865","134,416","16,325"
,,"Rate per 100,000 inhabitants",,433.4,6.1,37.8,26.5,90.7,298.7,"3,137.0",643.0,"2,223.9",270.1
MONTANA4,Metropolitan Statistical Area,,"359,094", ,,,,,,,,,
,,Area actually reporting,100.0%,924,5,131,94,143,645,"12,945","2,164","9,837",944
,Cities outside metropolitan areas,,"211,218",,,,,,,,,,
,,Area actually reporting,97.5%,,12,166,,42,612,"6,966",923,"5,628",415
,,Estimated total,100.0%,852,12,170,115,43,627,"7,141",946,"5,770",425
,Nonmetropolitan counties,,"444,853",,,,,,,,,,
,,Area actually reporting,94.8%,,5,103,,17,625,"5,562",904,"4,202",456
,,Estimated total,100.0%,791,5,109,78,18,659,"5,867",954,"4,432",481
,State Total,,"1,015,165","2,567",22,410,287,204,"1,931","25,953","4,064","20,039","1,850"
,,"Rate per 100,000 inhabitants",,252.9,2.2,40.4,28.3,20.1,190.2,"2,556.5",400.3,"1,974.0",182.2
NEBRASKA5,Metropolitan Statistical Area,,"1,195,918",,,,,,,,,,
,,Area actually reporting,99.3%,,53,,420,992,"2,436","36,568","6,499","26,152","3,917"
,,Estimated total,100.0%,"3,988",53,503,422,993,"2,439","36,681","6,518","26,238","3,925"
,Cities outside metropolitan areas,,"341,308",,,,,,,,,,
,,Area actually reporting,89.5%,,1,,128,35,388,"8,304","1,414","6,567",323
,,Estimated total,100.0%,706,1,233,143,39,433,"9,277","1,580","7,336",361
,Nonmetropolitan counties,,"331,290",,,,,,,,,,
,,Area actually reporting,78.7%,,2,,43,6,100,"2,408",631,"1,638",139
,,Estimated total,100.0%,203,3,65,51,8,127,"3,060",802,"2,081",177
,State Total,,"1,868,516","4,897",57,801,616,"1,040","2,999","49,018","8,900","35,655","4,463"
,,"Rate per 100,000 inhabitants",,262.1,3.1,42.9,33.0,55.7,160.5,"2,623.4",476.3,"1,908.2",238.9
NEVADA,Metropolitan Statistical Area,,"2,519,173",,,,,,,,,,
,,Area actually reporting,100.0%,"15,824",143,"1,290",991,"5,124","9,267","73,425","21,274","42,622","9,529"
,Cities outside metropolitan areas,,"47,878",,,,,,,,,,
,,Area actually reporting,100.0%,282,10,49,38,24,199,"1,996",577,"1,243",176
,Nonmetropolitan counties,,"223,085",,,,,,,,,,
,,Area actually reporting,97.9%,,10,,60,34,582,"3,678","1,171","2,220",287
,,Estimated total,100.0%,718,10,79,61,35,594,"3,756","1,196","2,267",293
,State Total,,"2,790,136","16,824",163,"1,418","1,090","5,183","10,060","79,177","23,047","46,132","9,998"
,,"Rate per 100,000 inhabitants",,603.0,5.8,50.8,39.1,185.8,360.6,"2,837.7",826.0,"1,653.4",358.3
NEW HAMPSHIRE4,Metropolitan Statistical Area,,"827,519",,,,,,,,,,
,,Area actually reporting,95.2%,,13,367,,508,921,"17,299","2,813","13,915",571
,,Estimated total,100.0%,"1,850",13,378,264,515,944,"17,808","2,888","14,333",587
,Cities outside metropolitan areas,,"442,956",,,,,,,,,,
,,Area actually reporting,87.1%,,8,247,,117,407,"9,076","1,549","7,259",268
,,Estimated total,100.0%,894,9,284,198,134,467,"10,419","1,778","8,333",308
,Nonmetropolitan counties,,"52,984",,,,,,,,,,
,,Area actually reporting,4.5%,,0,6,,0,13,95,27,66,2
,,Estimated total,100.0%,105,0,24,17,0,81,813,270,498,45
,State Total,,"1,323,459","2,849",22,686,479,649,"1,492","29,040","4,936","23,164",940
,,"Rate per 100,000 inhabitants",,215.3,1.7,51.8,36.2,49.0,112.7,"2,194.3",373.0,"1,750.3",71.0
NEW JERSEY,Metropolitan Statistical Area,,"8,899,339",,,,,,,,,,
,,Area actually reporting,99.7%,,400,,859,"12,059","12,045","167,097","35,779","117,601","13,717"
,,Estimated total,100.0%,"25,674",401,"1,120",861,"12,082","12,071","167,556","35,873","117,936","13,747"
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,State Total,,"8,899,339","25,674",401,"1,120",861,"12,082","12,071","167,556","35,873","117,936","13,747"
,,"Rate per 100,000 inhabitants",,288.5,4.5,12.6,9.7,135.8,135.6,"1,882.8",403.1,"1,325.2",154.5
NEW MEXICO,Metropolitan Statistical Area,,"1,391,773", ,,,,,, ,,,
,,Area actually reporting,93.1%,,66,,720,"1,449","5,417","50,368","13,692","32,409","4,267"
,,Estimated total,100.0%,"8,686",69,999,768,"1,507","6,111","54,149","14,610","35,010","4,529"
,Cities outside metropolitan areas,,"396,083",,,,,,,,,,
,,Area actually reporting,99.0%,,31,,270,251,"2,501","17,830","4,508","12,401",921
,,Estimated total,100.0%,"3,167",31,355,273,254,"2,527","18,012","4,554","12,528",930
,Nonmetropolitan counties,,"297,431",,,,,,,,,,
,,Area actually reporting,75.3%,,19,,64,37,560,"3,837","1,741","1,760",336
,,Estimated total,100.0%,929,25,111,85,49,744,"5,095","2,312","2,337",446
,State Total,,"2,085,287","12,782",125,"1,465","1,126","1,810","9,382","77,256","21,476","49,875","5,905"
