Table 5,,,,,,,,,,,,,,
Index of Crime,,,,,,,,,,,,,,
"by State, 2002",,,,,,,,,,,,,,
Area,Population,Crime Index  ,Modified Crime Index1,Violent crime2,Property crime2,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,,Burglary,Larceny-theft,Motor vehicle theft,Arson1
   Estimated total,100.0%,"9,181",,"1,180","8,001",5,141,77,957,,"1,068","6,208",725,
Rural,"209,156",,,,,,,,,,,,,
   Area actually reporting,100.0%,"4,894", ,726,"4,168",10,116,30,570,,"1,319","2,276",573,
State Total,"643,786","27,745",,"3,627","24,118",33,511,489,"2,594",0,"3,908","17,739","2,471",
"   Rate per 100,000 inhabitants",,"4,309.7",,563.4,"3,746.3",5.1,79.4,76.0,402.9,,607.0,"2,755.4",383.8,
,,,,,,,,,,,,,,
ARIZONA,, , , ,, ,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"4,814,487",,,,,,,,,,,,,
   Area actually reporting,98.3%,"322,139",,"27,408","294,731",364,"1,499","7,804","17,741",,"53,694","185,611","55,426",
   Estimated total,100.0%,"327,109",,"27,729","299,380",367,"1,520","7,876","17,966",,"54,662","188,571","56,147",
Cities outside metropolitan areas,"305,238",,,,, ,,,,,,,,
   Area actually reporting,98.8%,"13,860",,"1,146","12,714",8,54,91,993,,"2,353","9,487",874,
   Estimated total,100.0%,"14,030",,"1,160","12,870",8,55,92,"1,005",,"2,382","9,603",885,
Rural,"336,728",, ,,,,,,,,,,,
   Area actually reporting,100.0%,"7,328",,"1,282","6,046",12,33,32,"1,205",,"2,043","3,367",636,
State Total,"5,456,453","348,467",,"30,171","318,296",387,"1,608","8,000","20,176",,"59,087","201,541","57,668",
"   Rate per 100,000 inhabitants",,"6,386.3",,552.9,"5,833.4",7.1,29.5,146.6,369.8,,"1,082.9","3,693.6","1,056.9",
,, ,,,,,,,,,,,,
ARKANSAS,, ,, , ,, , , ,, , ,,
,,,,,,,,, ,, , , ,
Metropolitan Statistical Area,"1,339,146",, ,,,,,,,,,,,
   Area actually reporting,100.0%,"74,398",,"7,326","67,072",95,525,"2,044","4,662",,"13,879","48,670","4,523",
Cities outside metropolitan areas,"509,713",,,,, ,,,,,,,,
   Area actually reporting ,98.4%,"26,046",,"2,878","23,168",20,132,393,"2,333",,"5,668","16,197","1,303",
   Estimated total,100.0%,"26,468",,"2,924","23,544",20,134,399,"2,371",,"5,760","16,460","1,324",
Rural,"861,220",,,,,,,,,,,,,
   Area actually reporting,97.1%,"11,467",,"1,215","10,252",26,92,79,"1,018",,"3,487","5,827",938,
   Estimated total,100.0%,"11,806",,"1,251","10,555",27,95,81,"1,048",,"3,590","5,999",966,
State Total,"2,710,079","112,672",,"11,501","101,171",142,754,"2,524","8,081",0,"23,229","71,129","6,813",
"   Rate per 100,000 inhabitants",,"4,157.5",,424.4,"3,733.1",5.2,27.8,93.1,298.2,,857.1,"2,624.6",251.4,
,,, ,,,,,,,,,,,
CALIFORNIA,, ,, , , , ,, ,,,,,
,, , , ,,,,,,,,,,
Metropolitan Statistical Area,"33,953,585",,,,,,,,,,,,,
   Area actually reporting,100.0%,"1,348,339",,"204,139","1,144,200","2,352","9,809","64,453","127,525",,"229,182","696,315","218,703",
Cities outside metropolitan areas,"501,198",,,,,,,,,,,,,
   Area actually reporting,100.0%,"21,249",,"2,323","18,926",20,202,375,"1,726",,"4,468","12,416","2,042",
Rural,"661,250",,,,,,,,,,,,,
   Area actually reporting,100.0%,"15,284",,"1,926","13,358",23,187,140,"1,576",,"4,778","6,961","1,619",
State Total,"35,116,033","1,384,872",,"208,388","1,176,484","2,395","10,198","64,968","130,827",0,"238,428","715,692","222,364",
"   Rate per 100,000 inhabitants",,"3,943.7",,593.4,"3,350.3",6.8,29.0,185.0,372.6,,679.0,"2,038.1",633.2,
,,,,,,,,,,,,,,
COLORADO,,,, , , , ,, ,,,, ,
,, ,,, , , ,,,,,,,
Metropolitan Statistical Area,"3,779,831",, ,,,,,, ,,,,,
   Area actually reporting,95.6%,"166,005",,"13,589","152,416",158,"1,740","3,314","8,377",,"27,280","103,999","21,137",
   Estimated total,100.0%,"174,593",,"14,220","160,373",164,"1,821","3,464","8,771",,"28,431","109,651","22,291",
Cities outside metropolitan areas,"313,320",, ,,,,,,,,,,,
   Area actually reporting,86.6%,"13,287",,992,"12,295",5,151,83,753,,"1,801","10,007",487,
   Estimated total,100.0%,"15,351",,"1,146","14,205",6,174,96,870,,"2,081","11,561",563,
Rural,"413,391",,,,,,,,,,,,,
   Area actually reporting,87.9%,"5,061",,449,"4,612",8,62,15,364,,"1,005","3,333",274,
   Estimated total,100.0%,"5,992",,516,"5,476",9,71,19,417,,"1,166","3,981",329,
State Total,"4,506,542","195,936",,"15,882","180,054",179,"2,066","3,579","10,058",0,"31,678","125,193","23,183",
"   Rate per 100,000 inhabitants",,"4,347.8", ,352.4,"3,995.4",4.0,45.8,79.4,223.2,,702.9,"2,778.0",514.4,
,,,,, , , ,, ,, , ,,
CONNECTICUT, ,,, , ,,,,,,,,,
,, ,,, , ,,,,,,,,
Metropolitan Statistical Area,"2,897,041",,,,,,,,,,,,,
   Area actually reporting,100.0%,"93,997", ,"9,455","84,542",75,661,"3,926","4,793",,"14,651","58,934","10,957",
Cities outside metropolitan areas,"60,995",,,,,,,,,,,,,
   Area actually reporting,100.0%,"2,628",,235,"2,393",2,13,56,164,,539,"1,711",143,
Rural,"502,467",,,,,,,,,,,,,
   Area actually reporting,100.0%,"7,094",,"1,077","6,017",3,56,78,940,,"1,898","3,647",472,
State Total,"3,460,503","103,719",,"10,767","92,952",80,730,"4,060","5,897",0,"17,088","64,292","11,572",
"   Rate per 100,000 inhabitants",,"2,997.2", ,311.1,"2,686.1",2.3,21.1,117.3,170.4,,493.8,"1,857.9",334.4,
,,,,, , , , , ,, , ,,
DELAWARE,, ,,,,,,,,, ,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"645,993",,,,,,,,,,,,,
   Area actually reporting,99.9%,"26,417", ,"3,961","22,456",19,266,"1,035","2,641",,"4,222","15,409","2,825",
   Estimated total,100.0%,"26,458",,"3,966","22,492",19,266,"1,036","2,645",,"4,228","15,437","2,827",
Cities outside metropolitan areas,"37,573",,,,,,,,,,,,,
   Area actually reporting,100.0%,"2,303",,293,"2,010",2,15,69,207,,408,"1,517",85,
Rural,"123,819",,,,,, ,,,,,,,
   Area actually reporting,100.0%,"3,042",,577,"2,465",5,77,49,446,,719,"1,601",145,
State Total,"807,385","31,803",,"4,836","26,967",26,358,"1,154","3,298",0,"5,355","18,555","3,057",
"   Rate per 100,000 inhabitants",,"3,939.0",,599.0,"3,340.0",3.2,44.3,142.9,408.5,,663.3,"2,298.2",378.6,
,,,,,, ,,, ,, , ,,
DISTRICT OF COLUMBIA3,, ,, , , ,,,,,,,,
,,, , ,,,,,,,,,,
Metropolitan Statistical Area,"570,898",,,,,,,,,,,,,
   Area actually reporting,100.0%,"45,799",,"9,322","36,477",264,262,"3,834","4,962",,"5,170","21,708","9,599",
Cities outside metropolitan areas,None,, ,,,,,,,,,,,
Rural,None,, ,,,,,,,,,,,
Total,"570,898","45,799",,"9,322","36,477",264,262,"3,834","4,962",0,"5,170","21,708","9,599",
"   Rate per 100,000 inhabitants",,"8,022.3",,"1,632.9","6,389.4",46.2,45.9,671.6,869.2,,905.6,"3,802.4","1,681.4",
,,,, ,, , , ,,, , ,,
FLORIDA,,,,,, ,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"15,515,922",,, , ,,,,,,,,,
   Area actually reporting,99.2%,"854,239",,"121,332","732,907",869,"6,225","31,484","82,754",,"164,155","483,463","85,289",
   Estimated total,100.0%,"859,847",,"122,124","737,723",874,"6,273","31,647","83,330",,"165,296","486,611","85,816",
Cities outside metropolitan areas,"240,207",,,,,,,,,,,,,
   Area actually reporting,98.8%,"16,556",,"2,120","14,436",9,105,457,"1,549",,"3,610","9,962",864,
   Estimated total,100.0%,"16,750",,"2,144","14,606",9,106,462,"1,567",,"3,653","10,079",874,
Rural,"957,020",, ,,,,,,,,,,,
   Area actually reporting,100.0%,"29,360",,"4,453","24,907",28,374,472,"3,579",,"8,293","14,788","1,826",
State Total,"16,713,149","905,957",,"128,721","777,236",911,"6,753","32,581","88,476",,"177,242","511,478","88,516",
"   Rate per 100,000 inhabitants",,"5,420.6", ,770.2,"4,650.4",5.5,40.4,194.9,529.4,0.0,"1,060.5","3,060.3",529.6,
,,,, ,,,,,,,,,,
GEORGIA,, ,,,,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"5,925,447",,,,,,,,,,,,,
   Area actually reporting,99.0%,"283,284",,"28,554","254,730",473,"1,535","11,664","14,882",,"53,571","169,095","32,064",
   Estimated total,100.0%,"286,953",,"28,856","258,097",476,"1,548","11,767","15,065",,"54,153","171,571","32,373",
Cities outside metropolitan areas,"915,341",,,,,,,,,,,,,
   Area actually reporting,92.3%,"50,888",,"5,642","45,246",47,303,"1,155","4,137",,"8,539","34,476","2,231",
   Estimated total,100.0%,"55,159",,"6,115","49,044",51,328,"1,252","4,484",,"9,256","37,370","2,418",
Rural,"1,719,522",, ,,,,,,,,,,,
   Area actually reporting,90.4%,"39,504",,"3,885","35,619",71,210,373,"3,231",,"9,509","23,178","2,932",
   Estimated total,100.0%,"43,718",,"4,300","39,418",79,232,413,"3,576",,"10,523","25,650","3,245",
State Total,"8,560,310","385,830",,"39,271","346,559",606,"2,108","13,432","23,125",0,"73,932","234,591","38,036",
"   Rate per 100,000 inhabitants",,"4,507.2", ,458.8,"4,048.4",7.1,24.6,156.9,270.1,0.0,863.7,"2,740.4",444.3,
,,,,,,,,,,,,,,
HAWAII,,,, , ,,,,,,,,,
,,, ,,,,,,,,,,,
Metropolitan Statistical Area,"900,433",,,,,,,,,,,,,
   Area actually reporting,100.0%,"57,271",,"2,601","54,670",18,304,"1,072","1,207",,"8,932","37,250","8,488",
Cities outside metropolitan areas,None,,,,,,,,,,,,,
Rural,"344,465",,,,,,,,,,,,,
   Area actually reporting,100.0%,"17,967", ,661,"17,306",6,68,138,449,,"3,790","12,094","1,422",
State Total,"1,244,898","75,238",,"3,262","71,976",24,372,"1,210","1,656",0,"12,722","49,344","9,910",
"   Rate per 100,000 inhabitants",,"6,043.7", ,262.0,"5,781.7",1.9,29.9,97.2,133.0,0.0,"1,021.9","3,963.7",796.0,
,, ,,,,,,,,,,,,
IDAHO,, ,,, , ,,,,,,,,
,,, , ,,,,,,,,,,
Metropolitan Statistical Area,"526,430",,,, ,,,,,,,,,
   Area actually reporting,100.0%,"20,859",,"1,682","19,177",13,267,153,"1,249",,"3,443","14,390","1,344",
Cities outside metropolitan areas,"379,717",,,,,,,,,,,,,
   Area actually reporting,97.9%,"14,642",,"1,010","13,632",9,126,69,806,,"2,284","10,572",776,
   Estimated total,100.0%,"14,949",,"1,031","13,918",9,129,70,823,,"2,332","10,794",792,
Rural,"434,984",, ,,,,,,,,,,,
   Area actually reporting,98.9%,"6,665",,699,"5,966",14,100,17,568,,"1,647","3,833",486,
   Estimated total,100.0%,"6,739",,706,"6,033",14,101,17,574,,"1,666","3,876",491,
State Total,"1,341,131","42,547",,"3,419","39,128",36,497,240,"2,646",0,"7,441","29,060","2,627",
"   Rate per 100,000 inhabitants",,"3,172.5", ,254.9,"2,917.5",2.7,37.1,17.9,197.3,0.0,554.8,"2,166.8",195.9,
,,,,,,,,,,,,,,
ILLINOIS4,, ,, , ,,,,,,,,,
,,,,,,,,,,,,,,
State Total,"12,600,620","506,086",,"78,214","427,872",949,"4,298","25,272","47,695",,"81,123","301,892","44,857",
"   Rate per 100,000 inhabitants",,"4,016.4", ,620.7,"3,395.6",7.5,34.1,200.6,378.5,0.0,643.8,"2,395.9",356.0,
,,,,,,,,,,,,,,
INDIANA,,, , , ,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"4,446,634",,,,,,,,,,,,,
   Area actually reporting,89.7%,"173,239", ,"17,786","155,453",305,"1,391","5,971","10,119",,"31,422","107,426","16,605",
   Estimated total,100.0%,"183,586",,"18,576","165,010",312,"1,470","6,102","10,692",,"33,404","114,178","17,428",
Cities outside metropolitan areas,"590,072",,,,,,,,,,,,,
   Area actually reporting,81.7%,"23,587",,"1,183","22,404",19,149,259,756,,"3,547","17,616","1,241",
   Estimated total,100.0%,"28,872",,"1,447","27,425",23,182,317,925,,"4,342","21,564","1,519",
Rural,"1,122,362",,,,,,,,,,,,,
   Area actually reporting,56.0%,"10,372",,"1,108","9,264",15,107,108,878,,"2,723","5,790",751,
   Estimated total,100.0%,"18,508",,"1,978","16,530",27,191,193,"1,567",,"4,859","10,331","1,340",
State Total,"6,159,068","230,966",,"22,001","208,965",362,"1,843","6,612","13,184",0,"42,605","146,073","20,287",
"   Rate per 100,000 inhabitants",,"3,750.0", ,357.2,"3,392.8",5.9,29.9,107.4,214.1,0.0,691.7,"2,371.7",329.4,
,,,,,,,,,,,,,,
IOWA,, , ,,,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"1,330,865",,, ,,,,,,,,,,
   Area actually reporting,98.4%,"67,221",,"5,761","61,460",30,555,"1,026","4,150",,"11,123","46,145","4,192",
   Estimated total,100.0%,"67,944",,"5,801","62,143",30,559,"1,032","4,180",,"11,213","46,711","4,219",
Cities outside metropolitan areas,"710,725",,,,,,,,,,,,,
   Area actually reporting,91.8%,"23,511",,"1,904","21,607",5,180,119,"1,600",,"4,475","16,101","1,031",
   Estimated total,100.0%,"25,622",,"2,075","23,547",5,196,130,"1,744",,"4,877","17,546","1,124",
Rural,"895,170",,,,,,,,,,,,,
   Area actually reporting,98.5%,"7,582",,504,"7,078",9,41,7,447,,"2,514","4,091",473,
   Estimated total,100.0%,"7,699",,512,"7,187",9,42,7,454,,"2,553","4,154",480,
State Total,"2,936,760","101,265",,"8,388","92,877",44,797,"1,169","6,378",0,"18,643","68,411","5,823",
"   Rate per 100,000 inhabitants",,"3,448.2", ,285.6,"3,162.6",1.5,27.1,39.8,217.2,0.0,634.8,"2,329.5",198.3,
,,,,,,,,,,,,,,
KANSAS,, ,, , ,,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"1,536,604",,, ,,,,,,,,,,
   Area actually reporting,95.8%,"64,646",,"5,817","58,829",48,560,"1,523","3,686",,"10,711","43,642","4,476",
   Estimated total,100.0%,"69,861",,"6,592","63,269",58,586,"1,837","4,111",,"11,738","46,324","5,207",
Cities outside metropolitan areas,"682,033",,,,,,,,,,,,,
   Area actually reporting,91.7%,"28,872",,"2,384","26,488",11,288,263,"1,822",,"4,887","20,322","1,279",
   Estimated total,100.0%,"31,474",,"2,599","28,875",12,314,287,"1,986",,"5,327","22,154","1,394",
Rural,"497,247",,,,,,,,,,,,,
   Area actually reporting,95.4%,"9,219",,991,"8,228",8,129,39,815,,"2,494","5,151",583,
   Estimated total,100.0%,"9,662",,"1,038","8,624",8,135,41,854,,"2,614","5,399",611,
State Total,"2,715,884","110,997",,"10,229","100,768",78,"1,035","2,165","6,951",0,"19,679","73,877","7,212",
"   Rate per 100,000 inhabitants",,"4,087.0", ,376.6,"3,710.3",2.9,38.1,79.7,255.9,0.0,724.6,"2,720.2",265.5,
,, ,,,,,,,,,,,,
KENTUCKY4,, , ,, ,,,,,,,,,
,,, ,,,,,,,,,,,
State Total,"4,092,891","118,799",,"11,418","107,381",184,"1,088","3,063","7,083",,"27,855","70,776","8,750",
"   Rate per 100,000 inhabitants",,"2,902.6", ,279.0,"2,623.6",4.5,26.6,74.8,173.1,0.0,680.6,"1,729.2",213.8,
,,,,,,,,,,,,,,
LOUISIANA,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"3,380,522", ,, , ,,,,,,,,,
   Area actually reporting,98.8%,"186,021",,"22,968","163,053",529,"1,262","6,409","14,768",,"36,188","108,417","18,448",
   Estimated total,100.0%,"188,429",,"23,226","165,203",530,"1,274","6,459","14,963",,"36,620","110,010","18,573",
Cities outside metropolitan areas,"372,005",,,,,,,,,,,,,
   Area actually reporting,67.2%,"15,170",,"2,156","13,014",12,77,284,"1,783",,"2,849","9,641",524,
   Estimated total,100.0%,"22,579",,"3,210","19,369",18,115,423,"2,654",,"4,240","14,349",780,
Rural,"730,119",,,,,,,,,,,,,
   Area actually reporting,88.7%,"15,539",,"2,886","12,653",40,124,214,"2,508",,"3,982","7,932",739,
   Estimated total,100.0%,"17,520",,"3,254","14,266",45,140,241,"2,828",,"4,490","8,943",833,
State Total,"4,482,646","228,528",,"29,690","198,838",593,"1,529","7,123","20,445",0,"45,350","133,302","20,186",
"   Rate per 100,000 inhabitants",,"5,098.1", ,662.3,"4,435.7",13.2,34.1,158.9,456.1,0.0,"1,011.7","2,973.7",450.3,
,,,,,,,,,,,,,,
MAINE,, ,,,,,,,,,,,,
,, ,, , ,,,,,,,,,
Metropolitan Statistical Area,"488,483",,,,,,,,,,,,,
   Area actually reporting,99.9%,"15,213",,610,"14,603",7,167,156,280,,"2,678","11,351",574,
   Estimated total,100.0%,"15,225",,610,"14,615",7,167,156,280,,"2,680","11,361",574,
Cities outside metropolitan areas,"428,325",,,,,,,,,,,,,
   Area actually reporting,99.4%,"13,414",,575,"12,839",4,141,94,336,,"2,231","10,107",501,
   Estimated total,100.0%,"13,502",,579,"12,923",4,142,95,338,,"2,246","10,173",504,
Rural,"377,656",,,,,,,,,,,,,
   Area actually reporting,100.0%,"5,654",,207,"5,447",3,68,19,117,,"2,039","3,057",351,
State Total,"1,294,464","34,381",,"1,396","32,985",14,377,270,735,,"6,965","24,591","1,429",
"   Rate per 100,000 inhabitants",,"2,656.0", ,107.8,"2,548.2",1.1,29.1,20.9,56.8,0.0,538.1,"1,899.7",110.4,
,, ,,,,,,,,,,,,
MARYLAND,, , ,,,,,,,,,,,
,,,, , ,,,,,,,,,
Metropolitan Statistical Area,"5,060,926",,,,,,,,,,,,,
   Area actually reporting,100.0%,"244,746",,"39,609","205,137",493,"1,240","13,033","24,843",,"37,148","134,608","33,381",
Cities outside metropolitan areas,"108,964",,,,,,,,,,,,,
   Area actually reporting,100.0%,"8,287",,"1,303","6,984",9,63,276,955,,"1,314","5,386",284,
Rural,"288,247",,,,,,,,,,,,,
   Area actually reporting,100.0%,"6,087",,"1,103","4,984",11,67,108,917,,"1,303","3,326",355,
State Total,"5,458,137","259,120",,"42,015","217,105",513,"1,370","13,417","26,715",#REF!,"39,765","143,320","34,020",
"   Rate per 100,000 inhabitants",,"4,747.4", ,769.8,"3,977.6",9.4,25.1,245.8,489.5,#REF!,728.5,"2,625.8",623.3,
,,,, , ,,,,,,,,,
MASSACHUSETTS,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"6,166,938",,,,,,,,,,,,,
   Area actually reporting,95.5%,"184,978",,"29,255","155,723",168,"1,642","6,944","20,501",,"30,464","99,669","25,590",
   Estimated total,100.0%,"190,894",,"29,971","160,923",170,"1,689","7,054","21,058",,"31,503","103,287","26,133",
Cities outside metropolitan areas,"251,236",,,,,,,,,,,,,
   Area actually reporting,87.4%,"6,918",,962,"5,956",3,77,99,783,,"1,517","4,044",395,
   Estimated total,100.0%,"7,970",,"1,153","6,817",3,88,113,949,,"1,736","4,629",452,
Rural,"9,627",,,,,,,,,,,,,
   Area actually reporting,100.0%,26,,13,13,0,0,2,11,,4,6,3,
State Total,"6,427,801","198,890",,"31,137","167,753",173,"1,777","7,169","22,018",,"33,243","107,922","26,588",
"   Rate per 100,000 inhabitants",,"3,094.2", ,484.4,"2,609.8",2.7,27.6,111.5,342.5,0.0,517.2,"1,679.0",413.6,
,,,,,,,,,,,,,,
MICHIGAN,, , ,, , ,,,,,,,,
,,,, ,,,,,,,,,,
Metropolitan Statistical Area,"8,261,532",,,,,,,,,,,,,
   Area actually reporting,99.4%,"340,257",,"49,949","290,308",643,"4,059","11,668","33,579",,"59,841","183,112","47,355",
   Estimated total,100.0%,"341,916", ,"50,097","291,819",644,"4,074","11,697","33,682",,"60,103","184,194","47,522",
Cities outside metropolitan areas,"590,393",,,,,,,,,,,,,
   Area actually reporting,89.2%,"18,818", ,"1,261","17,557",7,336,66,852,,"2,545","14,336",676,
   Estimated total,100.0%,"21,099",,"1,414","19,685",8,377,74,955,,"2,853","16,074",758,
Rural,"1,198,521",,,,,,,,,,,,,
   Area actually reporting,98.3%,"25,898",,"2,747","23,151",26,897,75,"1,749",,"7,876","13,857","1,418",
   Estimated total,100.0%,"26,351",,"2,795","23,556",26,913,76,"1,780",,"8,014","14,099","1,443",
State Total,"10,050,446","389,366",,"54,306","335,060",678,"5,364","11,847","36,417",0,"70,970","214,367","49,723",
"   Rate per 100,000 inhabitants",,"3,874.1", ,540.3,"3,333.8",6.7,53.4,117.9,362.3,0.0,706.1,"2,132.9",494.7,
,,,,,,,,,,,,,,
MINNESOTA,,,, , ,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"3,533,926",,,,,,,,,,,,,
   Area actually reporting,99.4%,"138,855",,"11,309","127,546",95,"1,599","3,816","5,799",,"20,598","95,543","11,405",
   Estimated total,100.0%,"139,550",,"11,342","128,208",95,"1,606","3,824","5,817",,"20,688","96,073","11,447",
Cities outside metropolitan areas,"559,457",,,,,,,,,,,,,
   Area actually reporting,99.4%,"22,009",,"1,158","20,851",5,335,74,744,,"2,861","16,956","1,034",
   Estimated total,100.0%,"22,137",,"1,164","20,973",5,337,74,748,,"2,878","17,055","1,040",
Rural,"926,337",,,,,,,,,,,,,
   Area actually reporting,100.0%,"15,767",,922,"14,845",12,330,39,541,,"4,468","9,022","1,355",
State Total,"5,019,720","177,454",,"13,428","164,026",112,"2,273","3,937","7,106",#REF!,"28,034","122,150","13,842",
"   Rate per 100,000 inhabitants",,"3,535.1", ,267.5,"3,267.6",2.2,45.3,78.4,141.6,#REF!,558.5,"2,433.4",275.8,
,, ,,,,,,,,,,,,
MISSISSIPPI,,,,,,,,,,,,,,
,, ,,, ,,,,,,,,,
Metropolitan Statistical Area,"1,033,431", ,, ,,,,,,,,,,
   Area actually reporting,82.8%,"51,618",,"3,950","47,668",104,478,"1,917","1,451",,"11,734","30,627","5,307",
   Estimated total,100.0%,"57,587",,"4,309","53,278",116,540,"2,007","1,646",,"13,124","34,402","5,752",
Cities outside metropolitan areas,"657,437",,,,,,,,,,,,,
   Area actually reporting,79.3%,"32,095",,"2,402","29,693",52,264,738,"1,348",,"7,177","20,882","1,634",
   Estimated total,100.0%,"40,481",,"3,030","37,451",66,333,931,"1,700",,"9,052","26,338","2,061",
Rural,"1,180,914",,,,,,,,,,,,,
   Area actually reporting,41.4%,"8,850",,"1,043","7,807",34,105,173,731,,"3,071","4,028",708,
   Estimated total,100.0%,"21,374",,"2,519","18,855",82,254,418,"1,765",,"7,417","9,728","1,710",
State Total,"2,871,782","119,442",,"9,858","109,584",264,"1,127","3,356","5,111",0,"29,593","70,468","9,523",
"   Rate per 100,000 inhabitants",,"4,159.2", ,343.3,"3,815.9",9.2,39.2,116.9,178.0,0.0,"1,030.5","2,453.8",331.6,
,,,,,,,,,,,,,,
MISSOURI,,,,,,,,,,,,,,
,, ,,, ,,,,,,,,,
Metropolitan Statistical Area,"3,847,277", ,, ,,,,,,,,,,
   Area actually reporting,99.7%,"211,121",,"23,892","187,229",267,"1,089","6,644","15,892",,"32,331","129,332","25,566",
   Estimated total,100.0%,"211,647",,"23,936","187,711",267,"1,091","6,653","15,925",,"32,403","129,699","25,609",
Cities outside metropolitan areas,"761,234",,,,,,,,,,,,,
   Area actually reporting,99.3%,"31,434",,"3,494","27,940",20,193,300,"2,981",,"4,904","21,876","1,160",
   Estimated total,100.0%,"31,662",,"3,519","28,143",20,194,302,"3,003",,"4,940","22,035","1,168",
Rural,"1,064,068",,,,,,,,,,,,,
   Area actually reporting,100.0%,"17,768",,"3,102","14,666",44,180,69,"2,809",,"5,378","8,187","1,101",
State Total,"5,672,579","261,077",,"30,557","230,520",331,"1,465","7,024","21,737",#REF!,"42,721","159,921","27,878",
"   Rate per 100,000 inhabitants",,"4,602.4", ,538.7,"4,063.8",5.8,25.8,123.8,383.2,#REF!,753.1,"2,819.2",491.5,
,, ,,,,,,,,,,,,
MONTANA,, ,, , ,,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"307,963", ,, ,,,,,,,,,,
   Area actually reporting,87.3%,"13,675",,914,"12,761",6,57,192,659,,"1,343","10,616",802,
   Estimated total,100.0%,"14,565",,"1,017","13,548",6,62,202,747,,"1,438","11,245",865,
Cities outside metropolitan areas,"178,045",,,,,,,,,,,,,
   Area actually reporting,72.6%,"6,349",,573,"5,776",3,59,34,477,,508,"4,971",297,
   Estimated total,100.0%,"8,744",,789,"7,955",4,81,47,657,,700,"6,846",409,
Rural,"423,445",,,,,,,,,,,,,
   Area actually reporting,64.8%,"5,601",,902,"4,699",4,61,22,815,,746,"3,623",330,
   Estimated total,100.0%,"8,639",,"1,391","7,248",6,94,34,"1,257",,"1,151","5,588",509,
State Total,"909,453","31,948",,"3,197","28,751",16,237,283,"2,661",0,"3,289","23,679","1,783",
"   Rate per 100,000 inhabitants",,"3,512.9", ,351.5,"3,161.4",1.8,26.1,31.1,292.6,0.0,361.6,"2,603.7",196.1,
,, ,, ,,,,,,,,,,
NEBRASKA,,,,, ,,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"909,259",,,,,,,,,,,,,
   Area actually reporting,97.3%,"50,855",,"4,452","46,403",35,307,"1,242","2,868",,"6,214","34,840","5,349",
   Estimated total,100.0%,"51,466",,"4,486","46,980",35,310,"1,248","2,893",,"6,303","35,277","5,400",
