Table 5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Index of Crime1,,,,,,,,,,,,,,
"by State, 2001",,,,,,,,,,,,,,
Area,Population,Crime Index Total,Modified Crime Index Total2,Violent Crime3,Property Crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,,Burglary,Larceny-theft,Motor vehicle theft,Arson2
   Estimated totals,100.0%,"8,941",,"1,291","7,650",16,165,104,"1,006",,"1,014","5,784",852,
Rural,"206,159",,,,,,,,,,,,,
   Area actually reporting,100.0%,"4,740", ,696,"4,044",13,126,26,531,,"1,227","2,263",554,
State Total,"634,892","26,895",,"3,735","23,160",39,501,514,"2,681",0,"3,847","16,695","2,618",
"   Rate per 100,000 inhabitants",,"4,236.2",,588.3,"3,647.9",6.1,78.9,81.0,422.3,,605.9,"2,629.6",412.4,
,,,,,,,,,,,,,,
ARIZONA,, , , ,, ,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"4,682,911",,,,,,,,,,,,,
   Area actually reporting,99.6%,"301,819",,"26,589","275,230",371,"1,416","8,716","16,086",,"50,802","173,753","50,675",
   Estimated totals,100.0%,"302,889",,"26,663","276,226",372,"1,421","8,734","16,136",,"51,021","174,391","50,814",
Cities outside metropolitan areas,"297,168",,,,, ,,,,,,,,
   Area actually reporting,99.1%,"12,771",,"1,002","11,769",8,51,87,856,,"2,206","8,764",799,
   Estimated totals,100.0%,"12,887",,"1,011","11,876",8,51,88,864,,"2,226","8,844",806,
Rural,"327,252",, ,,,,,,,,,,,
   Area actually reporting,100.0%,"6,773",,"1,001","5,772",20,46,46,889,,"1,574","3,615",583,
State Total,"5,307,331","322,549",,"28,675","293,874",400,"1,518","8,868","17,889",,"54,821","186,850","52,203",
"   Rate per 100,000 inhabitants",,"6,077.4",,540.3,"5,537.1",7.5,28.6,167.1,337.1,,"1,032.9","3,520.6",983.6,
,, ,,,,,,,,,,,,
ARKANSAS,, ,, , ,, , , ,, , ,,
,,,,,,,,, ,, , , ,
Metropolitan Statistical Area,"1,330,256",, ,,,,,,,,,,,
   Area actually reporting,100.0%,"71,929",,"7,198","64,731",83,580,"1,649","4,886",,"13,319","46,387","5,025",
Cities outside metropolitan areas,"498,097",,,,, ,,,,,,,,
   Area actually reporting ,100.0%,"26,367",,"3,338","23,029",31,169,451,"2,687",,"5,157","16,543","1,329",
Rural,"863,737",,,,,,,,,,,,,
   Area actually reporting,98.7%,"12,826",,"1,632","11,194",34,141,80,"1,377",,"3,670","6,571",953,
   Estimated totals,100.0%,"13,000",,"1,654","11,346",34,143,81,"1,396",,"3,720","6,660",966,
State Total,"2,692,090","111,296",,"12,190","99,106",148,892,"2,181","8,969",0,"22,196","69,590","7,320",
"   Rate per 100,000 inhabitants",,"4,134.2",,452.8,"3,681.4",5.5,33.1,81.0,333.2,,824.5,"2,585.0",271.9,
,,, ,,,,,,,,,,,
CALIFORNIA,, ,, , , , ,, ,,,,,
,, , , ,,,,,,,,,,
Metropolitan Statistical Area,"33,359,040",,,,,,,,,,,,,
   Area actually reporting,100.0%,"1,311,344",,"208,710","1,102,634","2,166","9,609","64,035","132,900",,"222,944","678,825","200,865",
Cities outside metropolitan areas,"478,856",,,,,,,,,,,,,
   Area actually reporting,100.0%,"20,583",,"2,270","18,313",16,158,342,"1,754",,"4,269","12,182","1,862",
Rural,"663,234",,,,,,,,,,,,,
   Area actually reporting,100.0%,"14,630",,"1,875","12,755",24,194,168,"1,489",,"4,787","6,662","1,306",
State Total,"34,501,130","1,346,557",,"212,855","1,133,702","2,206","9,961","64,545","136,143",0,"232,000","697,669","204,033",
"   Rate per 100,000 inhabitants",,"3,902.9",,617.0,"3,286.0",6.4,28.9,187.1,394.6,,672.4,"2,022.2",591.4,
,,,,,,,,,,,,,,
COLORADO,,,, , , , ,, ,,,, ,
,, ,, , , , ,,,,,,,
Metropolitan Statistical Area,"3,705,331",, ,,,,,, ,,,,,
   Area actually reporting,95.8%,"157,191",,"13,459","143,732",135,"1,637","3,336","8,351",,"24,553","100,180","18,999",
   Estimated totals,100.0%,"165,481",,"14,085","151,396",140,"1,715","3,484","8,746",,"25,553","105,814","20,029",
Cities outside metropolitan areas,"308,225",, ,,,,,,,,,,,
   Area actually reporting,76.9%,"11,687",,707,"10,980",4,109,44,550,,"1,517","8,975",488,
   Estimated totals,100.0%,"15,205",,920,"14,285",5,142,57,716,,"1,974","11,676",635,
Rural,"404,158",,,,,,,,,,,,,
   Area actually reporting,93.5%,"5,325",,455,"4,870",12,68,13,362,,941,"3,620",309,
   Estimated totals,100.0%,"5,693",,487,"5,206",13,73,14,387,,"1,006","3,870",330,
State Total,"4,417,714","186,379",,"15,492","170,887",158,"1,930","3,555","9,849",0,"28,533","121,360","20,994",
"   Rate per 100,000 inhabitants",,"4,218.9", ,350.7,"3,868.2",3.6,43.7,80.5,222.9,,645.9,"2,747.1",475.2,
,,,,, , , ,, ,, , ,,
CONNECTICUT, ,,, , ,,,,,,,,,
,, ,,, , ,,,,,,,,
Metropolitan Statistical Area,"2,859,060",,,,,,,,,,,,,
   Area actually reporting,100.0%,"96,828", ,"10,125","86,703",96,582,"4,054","5,393",,"14,863","60,128","11,712",
Cities outside metropolitan areas,"60,372",,,,,,,,,,,,,
   Area actually reporting,100.0%,"2,334",,223,"2,111",1,13,30,179,,382,"1,596",133,
Rural,"505,642",,,,,,,,,,,,,
   Area actually reporting,100.0%,"7,629",,"1,144","6,485",8,44,99,993,,"1,914","4,038",533,
State Total,"3,425,074","106,791",,"11,492","95,299",105,639,"4,183","6,565",0,"17,159","65,762","12,378",
"   Rate per 100,000 inhabitants",,"3,117.9", ,335.5,"2,782.4",3.1,18.7,122.1,191.7,,501.0,"1,920.0",361.4,
,,,,, , , , , ,, , ,,
DELAWARE,, ,,,,,,,,, ,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"637,015",,,,,,,,,,,,,
   Area actually reporting,99.9%,"27,010", ,"3,949","23,061",21,311,"1,044","2,573",,"4,180","16,311","2,570",
   Estimated totals,100.0%,"27,051",,"3,954","23,097",21,311,"1,045","2,577",,"4,185","16,340","2,572",
Cities outside metropolitan areas,"38,932",,,,,,,,,,,,,
   Area actually reporting,100.0%,"2,336",,318,"2,018",0,26,58,234,,358,"1,586",74,
Rural,"120,218",,,,,, ,,,,,,,
   Area actually reporting,100.0%,"2,880",,596,"2,284",2,83,53,458,,601,"1,550",133,
State Total,"796,165","32,267",,"4,868","27,399",23,420,"1,156","3,269",0,"5,144","19,476","2,779",
"   Rate per 100,000 inhabitants",,"4,052.8",,611.4,"3,441.4",2.9,52.8,145.2,410.6,,646.1,"2,446.2",349.0,
,,,,,, ,,, ,, , ,,
DISTRICT OF COLUMBIA4,, ,, , , ,,,,,,,,
,,, , ,,,,,,,,,,
Metropolitan Statistical Area,"571,822",,,,,,,,,,,,,
   Area actually reporting,100.0%,"44,085",,"9,931","34,154",232,188,"3,943","5,568",,"5,011","21,473","7,670",
Cities outside metropolitan areas,None,, ,,,,,,,,,,,
Rural,None,, ,,,,,,,,,,,
Total,"571,822","44,085",,"9,931","34,154",232,188,"3,943","5,568",0,"5,011","21,473","7,670",
"   Rate per 100,000 inhabitants",,"7,709.6",,"1,736.7","5,972.8",40.6,32.9,689.6,973.7,,876.3,"3,755.2","1,341.3",
,,,, ,, , , ,,, , ,,
FLORIDA,,,,,, ,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"15,221,969",,, , ,,,,,,,,,
   Area actually reporting,99.9%,"867,648",,"124,010","743,638",823,"6,157","31,984","85,046",,"164,687","491,714","87,237",
   Estimated totals,100.0%,"868,133",,"124,066","744,067",823,"6,159","31,999","85,085",,"164,774","492,009","87,284",
Cities outside metropolitan areas,"236,519",,,,,,,,,,,,,
   Area actually reporting,95.5%,"15,865",,"2,103","13,762",13,95,409,"1,586",,"3,134","9,779",849,
   Estimated totals,100.0%,"16,607",,"2,201","14,406",14,99,428,"1,660",,"3,281","10,236",889,
Rural,"938,027",, ,,,,,,,,,,,
   Area actually reporting,100.0%,"28,490",,"4,446","24,044",37,383,440,"3,586",,"7,997","14,303","1,744",
State Total,"16,396,515","913,230",,"130,713","782,517",874,"6,641","32,867","90,331",,"176,052","516,548","89,917",
"   Rate per 100,000 inhabitants",,"5,569.7", ,797.2,"4,772.5",5.3,40.5,200.5,550.9,0.0,"1,073.7","3,150.4",548.4,
,,,, ,,,,,,,,,,
GEORGIA,, ,,,,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"5,803,341",,,,,,,,,,,,,
   Area actually reporting,98.2%,"285,094",,"30,667","254,427",448,"1,595","12,602","16,022",,"51,482","171,787","31,158",
   Estimated totals,100.0%,"289,868",,"31,077","258,791",453,"1,619","12,759","16,246",,"52,285","174,872","31,634",
Cities outside metropolitan areas,"899,214",,,,,,,,,,,,,
   Area actually reporting,91.7%,"51,876",,"5,726","46,150",54,268,"1,142","4,262",,"8,374","35,317","2,459",
   Estimated totals,100.0%,"56,583",,"6,246","50,337",59,292,"1,246","4,649",,"9,134","38,521","2,682",
Rural,"1,681,360",, ,,,,,,,,,,,
   Area actually reporting,86.9%,"37,447",,"3,779","33,668",75,234,345,"3,125",,"9,020","21,804","2,844",
   Estimated totals,100.0%,"43,092",,"4,348","38,744",86,269,397,"3,596",,"10,380","25,091","3,273",
State Total,"8,383,915","389,543",,"41,671","347,872",598,"2,180","14,402","24,491",0,"71,799","238,484","37,589",
"   Rate per 100,000 inhabitants",,"4,646.3", ,497.0,"4,149.3",7.1,26.0,171.8,292.1,0.0,856.4,"2,844.5",448.3,
,,,,,,,,,,,,,,
HAWAII,,,, , ,,,,,,,,,
,,, ,,,,,,,,,,,
Metropolitan Statistical Area,"885,605",,,,,,,,,,,,,
   Area actually reporting,100.0%,"48,442",,"2,453","45,989",20,293,999,"1,141",,"7,340","33,052","5,597",
Cities outside metropolitan areas,None,,,,,,,,,,,,,
Rural,"338,793",,,,,,,,,,,,,
   Area actually reporting,100.0%,"17,505", ,664,"16,841",12,116,143,393,,"3,822","11,873","1,146",
State Total,"1,224,398","65,947",,"3,117","62,830",32,409,"1,142","1,534",0,"11,162","44,925","6,743",
"   Rate per 100,000 inhabitants",,"5,386.1", ,254.6,"5,131.5",2.6,33.4,93.3,125.3,0.0,911.6,"3,669.2",550.7,
,, ,,,,,,,,,,,,
IDAHO,, ,,, , ,,,,,,,,
,,, , ,,,,,,,,,,
Metropolitan Statistical Area,"518,530",,,, ,,,,,,,,,
   Area actually reporting,100.0%,"20,497",,"1,594","18,903",9,207,135,"1,243",,"3,469","14,165","1,269",
Cities outside metropolitan areas,"372,632",,,,,,,,,,,,,
   Area actually reporting,97.1%,"13,991",,878,"13,113",8,112,80,678,,"2,350","10,103",660,
   Estimated totals,100.0%,"14,402",,903,"13,499",8,115,82,698,,"2,419","10,401",679,
Rural,"429,844",, ,,,,,,,,,,,
   Area actually reporting,98.9%,"6,422",,707,"5,715",13,102,28,564,,"1,601","3,678",436,
   Estimated totals,100.0%,"6,493",,714,"5,779",13,103,28,570,,"1,619","3,719",441,
State Total,"1,321,006","41,392",,"3,211","38,181",30,425,245,"2,511",0,"7,507","28,285","2,389",
"   Rate per 100,000 inhabitants",,"3,133.4", ,243.1,"2,890.3",2.3,32.2,18.5,190.1,0.0,568.3,"2,141.2",180.8,
,,,,,,,,,,,,,,
ILLINOIS5,, ,, , ,,,,,,,,,
,,,,,,,,,,,,,,
State Total,"12,482,301","511,494",,"79,504","431,990",986,"3,938","24,867","49,713",,"78,844","304,362","48,784",
"   Rate per 100,000 inhabitants",,"4,097.8", ,636.9,"3,460.8",7.9,31.5,199.2,398.3,0.0,631.6,"2,438.3",390.8,
,,,,,,,,,,,,,,
INDIANA,,, , , ,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"4,414,639",,,,,,,,,,,,,
   Area actually reporting,88.8%,"168,472", ,"18,092","150,380",346,"1,306","6,338","10,102",,"30,411","102,938","17,031",
   Estimated totals,100.0%,"182,738",,"19,231","163,507",358,"1,398","6,598","10,877",,"32,921","112,304","18,282",
Cities outside metropolitan areas,"584,671",,,,,,,,,,,,,
   Area actually reporting,79.9%,"24,551",,"1,090","23,461",18,121,276,675,,"3,581","18,514","1,366",
   Estimated totals,100.0%,"30,737",,"1,365","29,372",23,151,346,845,,"4,483","23,179","1,710",
Rural,"1,115,435",,,,,,,,,,,,,
   Area actually reporting,50.2%,"10,450",,"1,074","9,376",16,84,114,860,,"2,689","5,930",757,
   Estimated totals,100.0%,"20,807",,"2,138","18,669",32,167,227,"1,712",,"5,354","11,808","1,507",
State Total,"6,114,745","234,282",,"22,734","211,548",413,"1,716","7,171","13,434",0,"42,758","147,291","21,499",
"   Rate per 100,000 inhabitants",,"3,831.4", ,371.8,"3,459.6",6.8,28.1,117.3,219.7,0.0,699.3,"2,408.8",351.6,
,,,,,,,,,,,,,,
IOWA,, , ,,,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"1,324,709",,, ,,,,,,,,,,
   Area actually reporting,98.6%,"62,278",,"5,397","56,881",35,463,979,"3,920",,"10,077","42,887","3,917",
   Estimated totals,100.0%,"62,862",,"5,425","57,437",35,465,985,"3,940",,"10,149","43,350","3,938",
Cities outside metropolitan areas,"706,401",,,,,,,,,,,,,
   Area actually reporting,87.5%,"22,951",,"1,705","21,246",8,130,133,"1,434",,"3,934","16,333",979,
   Estimated totals,100.0%,"26,231",,"1,949","24,282",9,149,152,"1,639",,"4,496","18,667","1,119",
Rural,"892,069",,,,,,,,,,,,,
   Area actually reporting,99.1%,"7,341",,487,"6,854",6,35,17,429,,"2,220","4,190",444,
   Estimated totals,100.0%,"7,406",,491,"6,915",6,35,17,433,,"2,240","4,227",448,
State Total,"2,923,179","96,499",,"7,865","88,634",50,649,"1,154","6,012",0,"16,885","66,244","5,505",
"   Rate per 100,000 inhabitants",,"3,301.2", ,269.1,"3,032.1",1.7,22.2,39.5,205.7,0.0,577.6,"2,266.2",188.3,
,,,,,,,,,,,,,,
KANSAS,, ,, , ,,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"1,524,581",,, ,,,,,,,,,,
   Area actually reporting,92.1%,"71,995",,"7,235","64,760",68,516,"2,060","4,591",,"12,441","46,589","5,730",
   Estimated totals,100.0%,"75,461",,"7,562","67,899",71,541,"2,119","4,831",,"13,145","48,767","5,987",
Cities outside metropolitan areas,"721,090",,,,,,,,,,,,,
   Area actually reporting,82.3%,"25,922",,"1,959","23,963",5,226,224,"1,504",,"4,082","18,643","1,238",
   Estimated totals,100.0%,"31,497",,"2,380","29,117",6,275,272,"1,827",,"4,960","22,653","1,504",
Rural,"448,970",,,,,,,,,,,,,
   Area actually reporting,94.9%,"9,003",,917,"8,086",14,122,30,751,,"2,286","5,331",469,
   Estimated totals,100.0%,"9,488",,967,"8,521",15,129,32,791,,"2,409","5,618",494,
State Total,"2,694,641","116,446",,"10,909","105,537",92,945,"2,423","7,449",0,"20,514","77,038","7,985",
"   Rate per 100,000 inhabitants",,"4,321.4", ,404.8,"3,916.6",3.4,35.1,89.9,276.4,0.0,761.3,"2,858.9",296.3,
,, ,,,,,,,,,,,,
KENTUCKY5,, , ,, ,,,,,,,,,
,,, ,,,,,,,,,,,
State Total,"4,065,556","119,449",,"10,448","109,001",191,"1,132","3,280","5,845",,"26,505","73,152","9,344",
"   Rate per 100,000 inhabitants",,"2,938.1", ,257.0,"2,681.1",4.7,27.8,80.7,143.8,0.0,651.9,"1,799.3",229.8,
,,,,,,,,,,,,,,
LOUISIANA,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"3,367,535", ,, , ,,,,,,,,,
   Area actually reporting,98.4%,"193,992",,"23,958","170,034",422,"1,111","7,147","15,278",,"36,441","113,728","19,865",
   Estimated totals,100.0%,"197,176",,"24,311","172,865",423,"1,130","7,215","15,543",,"36,992","115,818","20,055",
Cities outside metropolitan areas,"366,764",,,,,,,,,,,,,
   Area actually reporting,82.9%,"20,056",,"2,733","17,323",21,97,349,"2,266",,"4,225","12,359",739,
   Estimated totals,100.0%,"24,205",,"3,298","20,907",25,117,421,"2,735",,"5,099","14,916",892,
Rural,"731,131",,,,,,,,,,,,,
   Area actually reporting,90.8%,"15,420",,"2,786","12,634",48,142,207,"2,389",,"3,957","8,005",672,
   Estimated totals,100.0%,"16,990",,"3,069","13,921",53,156,228,"2,632",,"4,360","8,821",740,
State Total,"4,465,430","238,371",,"30,678","207,693",501,"1,403","7,864","20,910",0,"46,451","139,555","21,687",
"   Rate per 100,000 inhabitants",,"5,338.1", ,687.0,"4,651.1",11.2,31.4,176.1,468.3,0.0,"1,040.2","3,125.2",485.7,
,,,,,,,,,,,,,,
MAINE,, ,,,,,,,,,,,,
,, ,, , ,,,,,,,,,
Metropolitan Statistical Area,"485,545",,,,,,,,,,,,,
   Area actually reporting,99.9%,"15,523",,669,"14,854",6,161,184,318,,"2,676","11,495",683,
   Estimated totals,100.0%,"15,536",,669,"14,867",6,161,184,318,,"2,678","11,505",684,
Cities outside metropolitan areas,"425,744",,,,,,,,,,,,,
   Area actually reporting,99.4%,"13,320",,509,"12,811",1,109,69,330,,"2,291","9,982",538,
   Estimated totals,100.0%,"13,406",,512,"12,894",1,110,69,332,,"2,306","10,047",541,
Rural,"375,381",,,,,,,,,,,,,
   Area actually reporting,100.0%,"5,646",,253,"5,393",11,55,11,176,,"1,914","3,033",446,
State Total,"1,286,670","34,588",,"1,434","33,154",18,326,264,826,,"6,898","24,585","1,671",
"   Rate per 100,000 inhabitants",,"2,688.2", ,111.5,"2,576.7",1.4,25.3,20.5,64.2,0.0,536.1,"1,910.7",129.9,
,, ,,,,,,,,,,,,
MARYLAND,, , ,,,,,,,,,,,
,,,, , ,,,,,,,,,
Metropolitan Statistical Area,"4,983,985",,,,,,,,,,,,,
   Area actually reporting,99.9%,"246,892",,"39,671","207,221",434,"1,332","13,196","24,709",,"38,815","137,057","31,349",
   Estimated totals,100.0%,"247,234",,"39,705","207,529",434,"1,334","13,209","24,728",,"38,858","137,274","31,397",
Cities outside metropolitan areas,"107,309",,,,,,,,,,,,,
   Area actually reporting,100.0%,"8,725",,"1,319","7,406",2,56,248,"1,013",,"1,366","5,675",365,
Rural,"283,862",,,,,,,,,,,,,
   Area actually reporting,100.0%,"5,641",,"1,064","4,577",10,59,68,927,,"1,329","2,985",263,
State Total,"5,375,156","261,600",,"42,088","219,512",446,"1,449","13,525","26,668",0,"41,553","145,934","32,025",
"   Rate per 100,000 inhabitants",,"4,866.8", ,783.0,"4,083.8",8.3,27.0,251.6,496.1,0.0,773.1,"2,715.0",595.8,
,,,, , ,,,,,,,,,
MASSACHUSETTS,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"6,122,157",,,,,,,,,,,,,
   Area actually reporting,96.0%,"184,831",,"28,558","156,273",141,"1,739","6,370","20,308",,"29,995","99,384","26,894",
   Estimated totals,100.0%,"190,087",,"29,238","160,849",142,"1,786","6,452","20,858",,"30,917","102,551","27,381",
Cities outside metropolitan areas,"247,593",,,,,,,,,,,,,
   Area actually reporting,88.9%,"6,722",,"1,190","5,532",3,62,21,"1,104",,"1,343","3,793",396,
   Estimated totals,100.0%,"7,558",,"1,338","6,220",3,70,24,"1,241",,"1,510","4,265",445,
Rural,"9,554",,,,,,,,,,,,,
   Area actually reporting,100.0%,21,,11,10,0,0,0,11,,3,5,2,
State Total,"6,379,304","197,666",,"30,587","167,079",145,"1,856","6,476","22,110",,"32,430","106,821","27,828",
"   Rate per 100,000 inhabitants",,"3,098.6", ,479.5,"2,619.1",2.3,29.1,101.5,346.6,0.0,508.4,"1,674.5",436.2,
,,,,,,,,,,,,,,
MICHIGAN,, , ,, , ,,,,,,,,
,,,, ,,,,,,,,,,
Metropolitan Statistical Area,"8,212,518",,,,,,,,,,,,,
   Area actually reporting,99.3%,"359,226",,"51,298","307,928",642,"4,114","12,750","33,792",,"61,428","195,350","51,150",
   Estimated totals,100.0%,"361,388", ,"51,487","309,901",643,"4,134","12,788","33,922",,"61,748","196,765","51,388",
Cities outside metropolitan areas,"586,465",,,,,,,,,,,,,
   Area actually reporting,91.8%,"18,707", ,"1,201","17,506",7,307,80,807,,"2,552","14,230",724,
   Estimated totals,100.0%,"20,371",,"1,308","19,063",8,334,87,879,,"2,779","15,496",788,
Rural,"1,191,834",,,,,,,,,,,,,
   Area actually reporting,98.3%,"25,571",,"2,584","22,987",21,782,61,"1,720",,"7,382","14,199","1,406",
   Estimated totals,100.0%,"26,018",,"2,629","23,389",21,796,62,"1,750",,"7,511","14,447","1,431",
State Total,"9,990,817","407,777",,"55,424","352,353",672,"5,264","12,937","36,551",0,"72,038","226,708","53,607",
"   Rate per 100,000 inhabitants",,"4,081.5", ,554.7,"3,526.8",6.7,52.7,129.5,365.8,0.0,721.0,"2,269.2",536.6,
,,,,,,,,,,,,,,
MINNESOTA,,,, , ,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"3,500,541",,,,,,,,,,,,,
   Area actually reporting,98.7%,"139,026",,"11,065","127,961",87,"1,676","3,608","5,694",,"18,546","96,753","12,662",
   Estimated totals,100.0%,"140,653",,"11,142","129,511",87,"1,693","3,625","5,737",,"18,731","98,012","12,768",
Cities outside metropolitan areas,"555,006",,,,,,,,,,,,,
   Area actually reporting,94.3%,"21,519",,"1,037","20,482",8,240,100,689,,"2,634","16,861",987,
   Estimated totals,100.0%,"22,826",,"1,100","21,726",8,255,106,731,,"2,794","17,885","1,047",
Rural,"916,747",,,,,,,,,,,,,
   Area actually reporting,96.2%,"14,159",,869,"13,290",23,277,26,543,,"3,822","8,298","1,170",
   Estimated totals,100.0%,"14,712",,903,"13,809",24,288,27,564,,"3,971","8,622","1,216",
State Total,"4,972,294","178,191",,"13,145","165,046",119,"2,236","3,758","7,032",0,"25,496","124,519","15,031",
"   Rate per 100,000 inhabitants",,"3,583.7", ,264.4,"3,319.3",2.4,45.0,75.6,141.4,0.0,512.8,"2,504.3",302.3,
,, ,,,,,,,,,,,,
MISSISSIPPI,,,,,,,,,,,,,,
,, ,,, ,,,,,,,,,
Metropolitan Statistical Area,"1,028,476", ,, ,,,,,,,,,,
   Area actually reporting,83.5%,"52,787",,"3,971","48,816",103,481,"1,734","1,653",,"11,757","31,707","5,352",
   Estimated totals,100.0%,"58,352",,"4,294","54,058",114,531,"1,802","1,847",,"13,171","35,133","5,754",
Cities outside metropolitan areas,"654,291",,,,,,,,,,,,,
   Area actually reporting,81.8%,"33,212",,"2,732","30,480",56,268,935,"1,473",,"7,738","21,060","1,682",
   Estimated totals,100.0%,"40,604",,"3,341","37,263",69,328,"1,143","1,801",,"9,460","25,747","2,056",
Rural,"1,175,262",,,,,,,,,,,,,
   Area actually reporting,45.6%,"9,415",,"1,080","8,335",45,131,159,745,,"3,277","4,300",758,
   Estimated totals,100.0%,"20,659",,"2,371","18,288",99,288,349,"1,635",,"7,190","9,435","1,663",
State Total,"2,858,029","119,615",,"10,006","109,609",282,"1,147","3,294","5,283",0,"29,821","70,315","9,473",
"   Rate per 100,000 inhabitants",,"4,185.2", ,350.1,"3,835.1",9.9,40.1,115.3,184.8,0.0,"1,043.4","2,460.3",331.5,
,,,,,,,,,,,,,,
MISSOURI,,,,,,,,,,,,,,
,, ,,, ,,,,,,,,,
Metropolitan Statistical Area,"3,819,525", ,, ,,,,,,,,,,
   Area actually reporting,98.8%,"220,713",,"24,674","196,039",329,"1,021","7,375","15,949",,"33,033","137,289","25,717",
   Estimated totals,100.0%,"222,774",,"24,832","197,942",330,"1,031","7,409","16,062",,"33,292","138,771","25,879",
Cities outside metropolitan areas,"526,521",,,,,,,,,,,,,
   Area actually reporting,97.5%,"24,888",,"2,425","22,463",9,176,258,"1,982",,"3,731","17,803",929,
   Estimated totals,100.0%,"25,534",,"2,488","23,046",9,181,265,"2,033",,"3,828","18,265",953,
Rural,"1,283,661",,,,,,,,,,,,,
   Area actually reporting,95.3%,"19,599",,"3,002","16,597",31,163,92,"2,716",,"5,579","9,892","1,126",
   Estimated totals,100.0%,"20,575",,"3,152","17,423",33,171,97,"2,851",,"5,857","10,384","1,182",
State Total,"5,629,707","268,883",,"30,472","238,411",372,"1,383","7,771","20,946",0,"42,977","167,420","28,014",
"   Rate per 100,000 inhabitants",,"4,776.1", ,541.3,"4,234.9",6.6,24.6,138.0,372.1,0.0,763.4,"2,973.9",497.6,
,, ,,,,,,,,,,,,
MONTANA,, ,, , ,,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"306,270", ,, ,,,,,,,,,,
   Area actually reporting,76.2%,"12,456",,784,"11,672",14,49,155,566,,"1,383","9,609",680,
   Estimated totals,100.0%,"14,058",,993,"13,065",14,55,164,760,,"1,618","10,635",812,
Cities outside metropolitan areas,"174,563",,,,,,,,,,,,,
   Area actually reporting,49.7%,"5,031",,404,"4,627",3,30,17,354,,428,"3,967",232,
   Estimated totals,100.0%,"10,126",,813,"9,313",6,60,34,713,,861,"7,985",467,
Rural,"423,600",,,,,,,,,,,,,
   Area actually reporting,62.0%,"5,688",,856,"4,832",9,45,20,782,,738,"3,758",336,
   Estimated totals,100.0%,"9,178",,"1,381","7,797",14,73,32,"1,262",,"1,191","6,064",542,
State Total,"904,433","33,362",,"3,187","30,175",34,188,230,"2,735",0,"3,670","24,684","1,821",
"   Rate per 100,000 inhabitants",,"3,688.7", ,352.4,"3,336.3",3.8,20.8,25.4,302.4,0.0,405.8,"2,729.2",201.3,
,, ,, ,,,,,,,,,,
NEBRASKA,,,,, ,,,,,,,,,
,,,,,,,,,,,,,,
