Table 5,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,
"by State, 2015",,,,,,,, ,,,,,
State,Area,,Population,"Violent
crime1","Murder and 
nonnegligent 
manslaughter","Rape
(revised
definition)2 ","Rape
(legacy
definition)3",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft"
,,Area actually reporting,88.2%,"21,779",323,"1,853","1,384","6,625","12,978","136,529","27,995","97,087","11,447"
,,Estimated total,100.0%,"22,994",335,"1,979","1,479","6,851","13,829","148,065","29,832","105,957","12,276"
,Cities outside metropolitan areas, ,"522,395",,,,,,,,,,
,,Area actually reporting,70.3%,"1,152",12,158,114,135,847,"10,471","1,470","8,505",496
,,Estimated total,100.0%,"1,636",17,223,166,192,"1,204","14,889","2,090","12,094",705
,Nonmetropolitan counties,,"946,672",,,,,,,,,,
,,Area actually reporting,72.2%,729,15,137,104,49,528,"6,417","1,795","4,234",388
,,Estimated total,100.0%,"1,023",21,202,144,68,732,"8,893","2,488","5,867",538
,State Total,,"6,619,680","25,653",373,"2,404","1,789","7,111","15,765","171,847","34,410","123,918","13,519"
,,"Rate per 100,000 inhabitants",,387.5,5.6,36.3,27.0,107.4,238.2,"2,596.0",519.8,"1,872.0",204.2
IOWA,Metropolitan Statistical Area,,"1,840,338", ,,,,,,,,,
,,Area actually reporting,99.3%,"5,986",53,782,581,894,"4,257","44,884","9,734","31,932","3,218"
,,Estimated total,100.0%,"6,018",53,787,585,896,"4,282","45,107","9,777","32,102","3,228"
,Cities outside metropolitan areas,,"594,976",,,,,,,,,,
,,Area actually reporting,96.6%,"2,110",9,249,192,136,"1,716","14,168","3,412","10,030",726
,,Estimated total,100.0%,"2,184",9,258,199,141,"1,776","14,659","3,530","10,378",751
,Nonmetropolitan counties,,"688,585",,,,,,,,,,
,,Area actually reporting,100.0%,734,10,111,67,10,603,"4,191","1,585","2,243",363
,State Total,,"3,123,899","8,936",72,"1,156",851,"1,047","6,661","63,957","14,892","44,723","4,342"
,,"Rate per 100,000 inhabitants",,286.1,2.3,37.0,27.2,33.5,213.2,"2,047.3",476.7,"1,431.6",139.0
KANSAS,Metropolitan Statistical Area,,"1,965,292", ,,,,,,,,,
,,Area actually reporting,97.6%,"8,382",93,"1,189",928,"1,616","5,484","57,049","10,398","40,905","5,746"
,,Estimated total,100.0%,"8,473",93,"1,200",936,"1,627","5,553","57,942","10,562","41,561","5,819"
,Cities outside metropolitan areas,,"607,622",,,,,,,,,,
,,Area actually reporting,94.0%,"2,022",24,291,231,165,"1,542","15,954","2,972","12,236",746
,,Estimated total,100.0%,"2,147",26,305,242,176,"1,640","16,973","3,162","13,017",794
,Nonmetropolitan counties,,"338,727",,,,,,,,,,
,,Area actually reporting,97.0%,711,9,106,70,15,581,"4,156","1,589","2,233",334
,,Estimated total,100.0%,733,9,110,73,15,599,"4,284","1,638","2,302",344
,State Total,,"2,911,641","11,353",128,"1,615","1,251","1,818","7,792","79,199","15,362","56,880","6,957"
,,"Rate per 100,000 inhabitants",,389.9,4.4,55.5,43.0,62.4,267.6,"2,720.1",527.6,"1,953.5",238.9
KENTUCKY,Metropolitan Statistical Area,,"2,589,701", ,,,,,, ,,,
,,Area actually reporting,100.0%,"7,446",124,852,573,"2,836","3,634","72,101","15,154","50,770","6,177"
,Cities outside metropolitan areas,,"540,143",,,,,,,,,,
,,Area actually reporting,99.9%,906,13,170,123,312,411,"14,227","2,833","10,763",631
,,Estimated total,100.0%,906,13,170,123,312,411,"14,235","2,835","10,769",631
,Nonmetropolitan counties,,"1,295,248",,,,,,,,,,
,,Area actually reporting,100.0%,"1,324",72,470,301,159,623,"10,026","4,271","4,781",974
,State Total,,"4,425,092","9,676",209,"1,492",997,"3,307","4,668","96,362","22,260","66,320","7,782"
,,"Rate per 100,000 inhabitants",,218.7,4.7,33.7,22.5,74.7,105.5,"2,177.6",503.0,"1,498.7",175.9
LOUISIANA,Metropolitan Statistical Area,,"3,907,874", ,,,,,, ,,,
,,Area actually reporting,98.0%,"21,722",433,"1,522","1,113","5,123","14,644","133,837","29,607","95,453","8,777"
,,Estimated total,100.0%,"22,042",436,"1,544","1,130","5,173","14,889","136,310","30,124","97,285","8,901"
,Cities outside metropolitan areas,,"248,611",,,,,,,,,,
,,Area actually reporting,90.5%,"1,603",18,68,49,263,"1,254","11,274","2,819","8,148",307
,,Estimated total,100.0%,"1,774",20,77,57,291,"1,386","12,457","3,115","9,003",339
,Nonmetropolitan counties,,"514,239",,,,,,,,,,
,,Area actually reporting,97.0%,"1,350",24,99,71,83,"1,144","7,628","2,148","4,994",486
,,Estimated total,100.0%,"1,392",25,102,73,86,"1,179","7,862","2,214","5,147",501
,State Total,,"4,670,724","25,208",481,"1,723","1,260","5,550","17,454","156,629","35,453","111,435","9,741"
,,"Rate per 100,000 inhabitants",,539.7,10.3,36.9,27.0,118.8,373.7,"3,353.4",759.0,"2,385.8",208.6
MAINE6,Metropolitan Statistical Area,,"785,828",,,,,,,,,,
,,Area actually reporting,100.0%,996,7,222,174,245,522,"14,577","2,607","11,513",457
,Cities outside metropolitan areas,,"265,131",,,,,,,,,,
,,Area actually reporting,100.0%,464,10,169,128,55,230,"6,636","1,061","5,393",182
,Nonmetropolitan counties,,"278,369",,,,,,,,,,
,,Area actually reporting,100.0%,269,6,83,52,11,169,"3,114","1,016","1,923",175
,State Total,,"1,329,328","1,729",23,474,354,311,921,"24,327","4,684","18,829",814
,,"Rate per 100,000 inhabitants",,130.1,1.7,35.7,26.6,23.4,69.3,"1,830.0",352.4,"1,416.4",61.2
MARYLAND,Metropolitan Statistical Area,,"5,855,016",,,,,,,,,,
,,Area actually reporting,100.0%,"26,972",515,"1,623","1,152","9,757","15,077","135,770","24,899","97,815","13,056"
,Cities outside metropolitan areas,,"52,865",,,,,,,,,,
,,Area actually reporting,100.0%,324,0,22,17,75,227,"1,915",341,"1,538",36
,Nonmetropolitan counties,,"98,520",,,,,,,,,,
,,Area actually reporting,100.0%,166,1,21,15,31,113,"1,363",438,866,59
,State Total,,"6,006,401","27,462",516,"1,666","1,184","9,863","15,417","139,048","25,678","100,219","13,151"
,,"Rate per 100,000 inhabitants",,457.2,8.6,27.7,19.7,164.2,256.7,"2,315.0",427.5,"1,668.5",218.9
MASSACHUSETTS,Metropolitan Statistical Area,,"6,695,032",,,,,,,,,,
,,Area actually reporting,96.8%,"25,477",124,"1,965","1,520","5,160","18,228","109,844","20,931","81,135","7,778"
,,Estimated total,100.0%,"26,163",126,"2,030","1,570","5,267","18,740","113,118","21,554","83,565","7,999"
,Cities outside metropolitan areas,,"91,950",,,,,,,,,,
,,Area actually reporting,86.0%,337,2,36,31,18,281,"1,507",289,"1,158",60
,,Estimated total,100.0%,393,2,43,37,21,327,"1,753",336,"1,347",70
,Nonmetropolitan counties,,"7,440",,,,,,,,,,
,,Area actually reporting,100.0%,6,0,2,1,0,4,0,0,0,0
,State Total,,"6,794,422","26,562",128,"2,075","1,608","5,288","19,071","114,871","21,890","84,912","8,069"
,,"Rate per 100,000 inhabitants",,390.9,1.9,30.5,23.7,77.8,280.7,"1,690.7",322.2,"1,249.7",118.8
MICHIGAN,Metropolitan Statistical Area,,"8,121,585",,,,,,,,,,
,,Area actually reporting,99.5%,"36,719",528,"4,829","3,119","7,663","23,699","162,248","34,728","112,670","14,850"
,,Estimated total,100.0%,"36,839",528,"4,853","3,137","7,684","23,774","163,072","34,871","113,292","14,909"
,Cities outside metropolitan areas,,"599,913",,,,,,,,,,
,,Area actually reporting,94.4%,"1,443",8,491,331,60,884,"11,083","1,537","9,242",304
,,Estimated total,100.0%,"1,537",8,529,361,64,936,"11,735","1,627","9,786",322
,Nonmetropolitan counties,,"1,201,078",,,,,,,,,,
,,Area actually reporting,98.7%,"2,813",35,"1,049",653,47,"1,682","12,134","3,497","8,111",526
,,Estimated total,100.0%,"2,855",35,"1,068",665,48,"1,704","12,294","3,543","8,218",533
,State Total, ,"9,922,576","41,231",571,"6,450","4,163","7,796","26,414","187,101","40,041","131,296","15,764"
,,"Rate per 100,000 inhabitants",,415.5,5.8,65.0,42.0,78.6,266.2,"1,885.6",403.5,"1,323.2",158.9
MINNESOTA,Metropolitan Statistical Area,,"4,254,071",,,,,,,,,,
,,Area actually reporting,100.0%,"11,461",104,"1,813","1,327","3,633","5,911","101,503","15,434","79,140","6,929"
,Cities outside metropolitan areas,,"533,363",,,,,,,,,,
,,Area actually reporting,100.0%,"1,130",12,292,213,119,707,"13,502","1,787","11,186",529
,Nonmetropolitan counties,,"702,160",,,,,,,,,,
,,Area actually reporting,100.0%,728,17,216,146,19,476,"6,979","2,078","4,378",523
,State Total,,"5,489,594","13,319",133,"2,321","1,686","3,771","7,094","121,984","19,299","94,704","7,981"
,,"Rate per 100,000 inhabitants",,242.6,2.4,42.3,30.7,68.7,129.2,"2,222.1",351.6,"1,725.2",145.4
MISSISSIPPI6,Metropolitan Statistical Area,,"1,372,083", ,,,,,,,,,
,,Area actually reporting,77.3%,"3,343",95,431,323,"1,195","1,622","33,634","8,218","23,237","2,179"
,,Estimated total,100.0%,"3,834",105,490,366,"1,280","1,959","40,232","9,762","27,966","2,504"
,Cities outside metropolitan areas,,"585,231",,,,,,,,,,
,,Area actually reporting,48.0%,"1,147",43,148,108,371,585,"14,024","3,902","9,606",516
,,Estimated total,100.0%,"2,407",90,327,246,772,"1,218","29,192","8,122","19,996","1,074"
,Nonmetropolitan counties,,"1,035,019",,,,,,,,,,
,,Area actually reporting,41.8%,834,27,154,101,101,552,"6,422","2,890","3,254",278
,,Estimated total,100.0%,"2,013",64,386,250,242,"1,321","15,366","6,915","7,786",665
,State Total,,"2,992,333","8,254",259,"1,203",862,"2,294","4,498","84,790","24,799","55,748","4,243"
,,"Rate per 100,000 inhabitants",,275.8,8.7,40.2,28.8,76.7,150.3,"2,833.6",828.8,"1,863.0",141.8
MISSOURI,Metropolitan Statistical Area,,"4,532,929", ,,,,,,,,,
,,Area actually reporting,99.9%,"25,261",441,"2,105","1,531","6,029","16,686","139,741","26,437","98,339","14,965"
,,Estimated total,100.0%,"25,264",441,"2,105","1,531","6,030","16,688","139,769","26,441","98,361","14,967"
,Cities outside metropolitan areas,,"664,269",,,,,,,,,,
,,Area actually reporting,99.4%,"2,770",28,246,179,292,"2,204","22,566","3,780","17,819",967
,,Estimated total,100.0%,"2,785",28,246,179,294,"2,217","22,699","3,802","17,924",973
,Nonmetropolitan counties,,"886,474",,,,,,,,,,
,,Area actually reporting,100.0%,"2,212",33,202,144,52,"1,925","11,174","3,763","6,352","1,059"
,State Total,,"6,083,672","30,261",502,"2,553","1,854","6,376","20,830","173,642","34,006","122,637","16,999"
,,"Rate per 100,000 inhabitants",,497.4,8.3,42.0,30.5,104.8,342.4,"2,854.2",559.0,"2,015.8",279.4
MONTANA,Metropolitan Statistical Area,,"365,179", ,,,,,,,,,
,,Area actually reporting,99.9%,"1,299",20,195,135,134,950,"12,583","1,673","9,714","1,196"
,,Estimated total,100.0%,"1,300",20,195,135,134,951,"12,598","1,674","9,727","1,197"
,Cities outside metropolitan areas,,"218,086",,,,,,,,,,
,,Area actually reporting,99.1%,"1,134",6,203,172,52,873,"7,589",895,"6,136",558
,,Estimated total,100.0%,"1,145",6,206,174,52,881,"7,656",903,"6,190",563
,Nonmetropolitan counties,,"449,684",,,,,,,,,,
,,Area actually reporting,98.5%,"1,147",10,142,120,24,971,"6,743","1,242","4,853",648
,,Estimated total,100.0%,"1,166",10,146,122,24,986,"6,846","1,261","4,927",658
,State Total,,"1,032,949","3,611",36,547,431,210,"2,818","27,100","3,838","20,844","2,418"
,,"Rate per 100,000 inhabitants",,349.6,3.5,53.0,41.7,20.3,272.8,"2,623.6",371.6,"2,017.9",234.1
NEBRASKA6,Metropolitan Statistical Area,,"1,227,692",,,,,,,,,,
,,Area actually reporting,99.2%,"4,027",50,594,441,929,"2,454","32,043","4,539","24,109","3,395"
,,Estimated total,100.0%,"4,036",50,597,444,929,"2,460","32,191","4,559","24,226","3,406"
,Cities outside metropolitan areas,,"335,719",,,,,,,,,,
,,Area actually reporting,93.7%,781,6,200,152,50,525,"7,472","1,132","5,985",355
,,Estimated total,100.0%,838,6,219,167,53,560,"7,973","1,208","6,386",379
,Nonmetropolitan counties,,"332,779",,,,,,,,,,
,,Area actually reporting,90.4%,305,5,51,38,11,238,"2,106",592,"1,319",195
,,Estimated total,100.0%,338,6,57,41,12,263,"2,331",655,"1,460",216
,State Total,,"1,896,190","5,212",62,873,652,994,"3,283","42,495","6,422","32,072","4,001"
,,"Rate per 100,000 inhabitants",,274.9,3.3,46.0,34.4,52.4,173.1,"2,241.1",338.7,"1,691.4",211.0
NEVADA,Metropolitan Statistical Area,,"2,617,805",,,,,,,,,,
,,Area actually reporting,100.0%,"19,404",166,"1,565","1,156","6,244","11,429","72,206","20,939","40,285","10,982"
,Cities outside metropolitan areas,,"48,996",,,,,,,,,,
,,Area actually reporting,100.0%,237,2,41,29,10,184,"1,688",456,"1,130",102
,Nonmetropolitan counties,,"224,044",,,,,,,,,,
,,Area actually reporting,100.0%,477,10,82,53,33,352,"3,243",965,"2,011",267
,State Total,,"2,890,845","20,118",178,"1,688","1,238","6,287","11,965","77,137","22,360","43,426","11,351"
,,"Rate per 100,000 inhabitants",,695.9,6.2,58.4,42.8,217.5,413.9,"2,668.3",773.5,"1,502.2",392.7
NEW HAMPSHIRE,Metropolitan Statistical Area,,"835,158",,,,,,,,,,
,,Area actually reporting,97.9%,"1,743",14,360,277,365,"1,004","13,955","1,967","11,385",603
,,Estimated total,100.0%,"1,766",14,367,283,368,"1,017","14,201","2,000","11,588",613
,Cities outside metropolitan areas,,"443,394",,,,,,,,,,
,,Area actually reporting,89.3%,750,0,218,148,87,445,"7,785","1,206","6,343",236
,,Estimated total,100.0%,847,0,251,173,97,499,"8,721","1,351","7,106",264
,Nonmetropolitan counties,,"52,056",,,,,,,,,,
,,Area actually reporting,100.0%,39,0,9,5,3,27,307,116,177,14
,State Total,,"1,330,608","2,652",14,627,461,468,"1,543","23,229","3,467","18,871",891
,,"Rate per 100,000 inhabitants",,199.3,1.1,47.1,34.6,35.2,116.0,"1,745.7",260.6,"1,418.2",67.0
NEW JERSEY,Metropolitan Statistical Area,,"8,958,013",,,,,,,,,,
,,Area actually reporting,100.0%,"22,879",363,"1,373","1,019","9,729","11,414","145,701","27,960","105,963","11,778"
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,State Total,,"8,958,013","22,879",363,"1,373","1,019","9,729","11,414","145,701","27,960","105,963","11,778"
,,"Rate per 100,000 inhabitants",,255.4,4.1,15.3,11.4,108.6,127.4,"1,626.5",312.1,"1,182.9",131.5
NEW MEXICO5,Metropolitan Statistical Area,,"1,390,305", ,,,,,, ,,,
,,Area actually reporting,94.9%,"9,007",68,"1,115",818,"2,098","5,726","54,488","10,943","36,644","6,901"
,,Estimated total,100.0%,"9,319",70,"1,159",849,"2,128","5,962","55,506","11,289","37,178","7,039"
,Cities outside metropolitan areas,,"398,912",,,,,,,,,,
,,Area actually reporting,96.9%,"2,773",28,333,249,307,"2,105","17,423","4,310","12,114",999
,,Estimated total,100.0%,"2,864",29,345,258,317,"2,173","17,983","4,449","12,503","1,031"
,Nonmetropolitan counties,,"295,892",,,,,,,,,,
,,Area actually reporting,92.8%,"1,389",17,155,100,37,"1,180","3,345","1,250","1,672",423
,,Estimated total,100.0%,"1,498",18,168,108,40,"1,272","3,605","1,347","1,802",456
