Table 3,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,
"by State, 2016",,,,,,,, ,,,,,,,,
State,Area,,Population,"Violent
crime1","Murder and 
nonnegligent 
manslaughter","Rape
(revised
definition2) ","Rape
(legacy
definition3)",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",,,
,,"Rate per 100,000 inhabitants",,470.1,5.5,47.5,35.4,101.8,315.4,"2,978.4",544.4,"2,168.1",265.8,,,
ARKANSAS,Metropolitan Statistical Area,,"1,851,896",,,,,,,,,,,,,
,,Area actually reporting,99.9%,"11,573",144,"1,315",967,"1,711","8,403","68,739","15,650","47,839","5,250",,,
,,Estimated total,100.0%,"11,576",144,"1,316",968,"1,711","8,405","68,762","15,655","47,856","5,251",,,
,Cities outside metropolitan areas,,"515,688",, ,,,,,,,,,,,
,,Area actually reporting ,94.1%,"2,925",44,471,343,347,"2,063","18,438","4,926","12,537",975,,,
,,Estimated total,100.0%,"3,109",47,500,364,369,"2,193","19,599","5,236","13,327","1,036",,,
,Nonmetropolitan counties,,"620,664",,,,,,,,,,,,,
,,Area actually reporting,96.1%,"1,704",24,313,204,38,"1,329","8,944","2,766","5,344",834,,,
,,Estimated total,100.0%,"1,776",25,327,213,40,"1,384","9,312","2,880","5,564",868,,,
,State Total,,"2,988,248","16,461",216,"2,143","1,545","2,120","11,982","97,673","23,771","66,747","7,155",,,
,,"Rate per 100,000 inhabitants",,550.9,7.2,71.7,51.7,70.9,401.0,"3,268.6",795.5,"2,233.6",239.4,,,
CALIFORNIA,Metropolitan Statistical Area,,"38,426,705",,,,,,,,,,,,,
,,Area actually reporting,99.9%,"170,862","1,880","13,290","9,871","54,288","101,404","983,750","182,895","626,742","174,113",,,
,,Estimated total,100.0%,"170,887","1,880","13,292","9,872","54,296","101,419","983,927","182,929","626,856","174,142",,,
,Cities outside metropolitan areas,,"268,891",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"1,805",8,164,118,310,"1,323","9,604","2,243","6,260","1,101",,,
,Nonmetropolitan counties,,"554,421",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"2,104",42,246,159,183,"1,633","8,539","3,132","3,894","1,513",,,
,State Total,,"39,250,017","174,796","1,930","13,702","10,149","54,789","104,375","1,002,070","188,304","637,010","176,756",,,
,,"Rate per 100,000 inhabitants",,445.3,4.9,34.9,25.9,139.6,265.9,"2,553.0",479.8,"1,623.0",450.3,,,
COLORADO,Metropolitan Statistical Area,,"4,845,078",,,,,, ,,,,,,,
,,Area actually reporting,99.9%,"17,870",190,"3,233","2,391","3,458","10,989","138,992","21,523","98,615","18,854",,,
,,Estimated total,100.0%,"17,882",190,"3,235","2,393","3,459","10,998","139,156","21,542","98,740","18,874",,,
,Cities outside metropolitan areas,,"337,897",,,,,,,,,,,,,
,,Area actually reporting,91.9%,641,10,167,121,48,416,"8,641","1,294","6,943",404,,,
,,Estimated total,100.0%,697,11,181,133,52,453,"9,405","1,408","7,557",440,,,
,Nonmetropolitan counties,,"357,570",,,,,,,,,,,,,
,,Area actually reporting,98.6%,399,3,137,91,17,242,"3,243",940,"2,010",293,,,
,,Estimated total,100.0%,404,3,139,93,17,245,"3,289",953,"2,039",297,,,
,State Total,,"5,540,545","18,983",204,"3,555","2,619","3,528","11,696","151,850","23,903","108,336","19,611",,,
,,"Rate per 100,000 inhabitants",,342.6,3.7,64.2,47.3,63.7,211.1,"2,740.7",431.4,"1,955.3",354.0,,,
CONNECTICUT,Metropolitan Statistical Area,,"2,961,626",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"7,706",70,685,509,"2,629","4,322","60,060","9,054","44,302","6,704",,,
,Cities outside metropolitan areas,,"113,580",,,,,,,,,,,,,
,,Area actually reporting,100.0%,135,1,21,15,37,76,"1,756",248,"1,417",91,,,
,Nonmetropolitan counties,,"501,246",,,,,,,,,,,,,
,,Area actually reporting,100.0%,282,7,57,37,37,181,"2,848",743,"1,793",312,,,
,State Total,,"3,576,452","8,123",78,763,561,"2,703","4,579","64,664","10,045","47,512","7,107",,,
,,"Rate per 100,000 inhabitants",,227.1,2.2,21.3,15.7,75.6,128.0,"1,808.0",280.9,"1,328.5",198.7,,,
DELAWARE,Metropolitan Statistical Area,,"952,065",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"4,843",56,307,220,"1,359","3,121","26,333","5,023","19,790","1,520",,,
,Cities outside metropolitan areas,,None,, ,,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,,,,
,,Area actually reporting,100.0%,1,0,1,1,0,0,1,0,1,0,,,
,State Total,,"952,065","4,844",56,308,221,"1,359","3,121","26,334","5,023","19,791","1,520",,,
,,"Rate per 100,000 inhabitants",,508.8,5.9,32.4,23.2,142.7,327.8,"2,766.0",527.6,"2,078.7",159.7,,,
DISTRICT OF COLUMBIA4,Metropolitan Statistical Area,,"681,170",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"8,214",139,532,401,"3,480","4,063","32,716","2,361","27,382","2,973",,,
,Cities outside metropolitan areas,,None,,,,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,,,,
,Total,,"681,170","8,214",139,532,401,"3,480","4,063","32,716","2,361","27,382","2,973",,,
,,"Rate per 100,000 inhabitants",,"1,205.9",20.4,78.1,58.9,510.9,596.5,"4,802.9",346.6,"4,019.8",436.5,,,
FLORIDA,Metropolitan Statistical Area,,"19,905,117", ,,,,,, ,,,,,,
,,Area actually reporting,99.8%,"85,184","1,069","7,340","5,356","19,854","56,921","537,956","95,945","399,765","42,246",,,
,,Estimated total,100.0%,"85,327","1,071","7,352","5,365","19,889","57,015","538,945","96,110","400,513","42,322",,,
,Cities outside metropolitan areas,,"146,572",,,,,,,,,,,,,
,,Area actually reporting,94.3%,929,10,41,29,141,737,"5,149","1,159","3,742",248,,,
,,Estimated total,100.0%,985,11,44,32,149,781,"5,459","1,229","3,967",263,,,
,Nonmetropolitan counties,,"560,750",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"2,388",29,202,131,137,"2,020","9,408","2,986","5,872",550,,,
,State Total,,"20,612,439","88,700","1,111","7,598","5,528","20,175","59,816","553,812","100,325","410,352","43,135",,,
,,"Rate per 100,000 inhabitants",,430.3,5.4,36.9,26.8,97.9,290.2,"2,686.8",486.7,"1,990.8",209.3,,,
GEORGIA5,Metropolitan Statistical Area,,"8,537,584",,,,,,,,,,,,,
,,Area actually reporting,99.5%,"35,058",586,"2,975","2,159","11,252","20,245","261,232","52,059","184,537","24,636",,,
,,Estimated total,100.0%,"35,206",588,"2,986","2,168","11,297","20,335","262,449","52,298","185,405","24,746",,,
,Cities outside metropolitan areas,,"644,378",,,,,,,,,,,,,
,,Area actually reporting,89.4%,"2,807",53,219,166,641,"1,894","24,709","4,962","18,977",770,,,
,,Estimated total,100.0%,"3,132",59,238,182,717,"2,118","27,637","5,550","21,226",861,,,
,Nonmetropolitan counties,,"1,128,409",,,,,,,,,,,,,
,,Area actually reporting,93.0%,"2,464",32,262,165,178,"1,992","18,309","5,112","12,086","1,111",,,
,,Estimated total,100.0%,"2,652",34,285,178,191,"2,142","19,684","5,496","12,994","1,194",,,
,State Total,,"10,310,371","40,990",681,"3,509","2,528","12,205","24,595","309,770","63,344","219,625","26,801",,,
,,"Rate per 100,000 inhabitants",,397.6,6.6,34.0,24.5,118.4,238.5,"3,004.5",614.4,"2,130.1",259.9,,,
HAWAII,Metropolitan Statistical Area,,"1,160,343",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"3,781",21,459,343,904,"2,397","36,333","4,736","26,534","5,063",,,
,Cities outside metropolitan areas,,None,, ,,,,,,,,,,,
,Nonmetropolitan counties,,"268,214",,,,,,,,,,,,,
,,Estimated total,100.0%,636,14,160,104,90,372,"6,420","1,281","4,548",591,,,
,State Total, ,"1,428,557","4,417",35,619,447,994,"2,769","42,753","6,017","31,082","5,654",,,
,,"Rate per 100,000 inhabitants",,309.2,2.5,43.3,31.3,69.6,193.8,"2,992.7",421.2,"2,175.8",395.8,,,
IDAHO,Metropolitan Statistical Area,,"1,127,333",,,,,,, ,,,,,,
,,Area actually reporting,100.0%,"2,775",28,507,378,170,"2,070","21,858","4,307","16,026","1,525",,,
,Cities outside metropolitan areas,,"255,530",,,,,,,,,,,,,
,,Area actually reporting,99.1%,587,11,116,85,32,428,"4,583",984,"3,310",289,,,
,,Estimated total,100.0%,592,11,117,86,32,432,"4,625",993,"3,340",292,,,
,Nonmetropolitan counties, ,"300,277",,,,,,,, ,,,,,
,,Area actually reporting,100.0%,509,10,95,65,11,393,"2,874","1,018","1,596",260,,,
,State Total,,"1,683,140","3,876",49,719,529,213,"2,895","29,357","6,318","20,962","2,077",,,
,,"Rate per 100,000 inhabitants",,230.3,2.9,42.7,31.4,12.7,172.0,"1,744.2",375.4,"1,245.4",123.4,,,
ILLINOIS,Metropolitan Statistical Area,,"11,329,203",,,,,,,,,,,,,
,,Area actually reporting,97.4%,"51,812","1,016","4,262","3,172","17,372","29,162","234,747","41,931","173,922","18,894",,,
,,Estimated total,100.0%,"52,414","1,022","4,340","3,231","17,544","29,508","239,672","42,707","177,817","19,148",,,
,Cities outside metropolitan areas,,"829,170",,,,,,,,,,,,,
,,Area actually reporting,84.2%,"2,032",6,311,226,198,"1,517","14,538","2,946","11,189",403,,,
,,Estimated total,100.0%,"2,399",7,355,264,235,"1,802","17,269","3,499","13,291",479,,,
,Nonmetropolitan counties,,"643,166",,,,,,,,,,,,,
,,Area actually reporting,88.6%,923,22,189,125,43,669,"4,755","1,580","2,924",251,,,
,,Estimated total,100.0%,"1,041",25,213,140,48,755,"5,365","1,783","3,299",283,,,
,State Total,,"12,801,539","55,854","1,054","4,908","3,635","17,827","32,065","262,306","47,989","194,407","19,910",,,
,,"Rate per 100,000 inhabitants",,436.3,8.2,38.3,28.4,139.3,250.5,"2,049.0",374.9,"1,518.6",155.5,,,
INDIANA6,Metropolitan Statistical Area,,"5,169,542",,,,,,,,,,,,,
,,Area actually reporting,84.0%,"22,873",370,"1,868","1,400","6,857","13,778","134,126","26,691","95,363","12,072",,,
,,Estimated total,100.0%,"24,435",396,"2,068","1,546","7,126","14,845","148,420","29,206","105,936","13,278",,,
,Cities outside metropolitan areas, ,"522,889",,,,,,,,,,,,,
,,Area actually reporting,62.7%,774,7,110,81,100,557,"9,245","1,381","7,357",507,,,
,,Estimated total,100.0%,"1,236",11,178,134,159,888,"14,740","2,202","11,730",808,,,
,Nonmetropolitan counties,,"940,622",,,,,,,,,,,,,
,,Area actually reporting,60.0%,694,19,143,98,27,505,"5,158","1,613","3,158",387,,,
,,Estimated total,100.0%,"1,174",32,255,171,45,842,"8,599","2,689","5,265",645,,,
,State Total,,"6,633,053","26,845",439,"2,501","1,851","7,330","16,575","171,759","34,097","122,931","14,731",,,
,,"Rate per 100,000 inhabitants",,404.7,6.6,37.7,27.9,110.5,249.9,"2,589.4",514.0,"1,853.3",222.1,,,
IOWA,Metropolitan Statistical Area,,"1,857,824", ,,,,,,,,,,,,
,,Area actually reporting,98.8%,"6,150",50,884,658,969,"4,247","46,230","9,808","32,675","3,747",,,
,,Estimated total,100.0%,"6,192",50,891,663,971,"4,280","46,504","9,882","32,856","3,766",,,
,Cities outside metropolitan areas,,"595,688",,,,,,,,,,,,,
,,Area actually reporting,97.4%,"2,094",13,239,175,162,"1,680","14,370","3,350","10,238",782,,,
,,Estimated total,100.0%,"2,151",13,246,181,166,"1,726","14,760","3,441","10,516",803,,,
,Nonmetropolitan counties,,"681,181",,,,,,,,,,,,,
,,Area actually reporting,97.5%,748,8,107,75,11,622,"4,026","1,665","1,957",404,,,
,,Estimated total,100.0%,767,8,110,78,11,638,"4,127","1,707","2,006",414,,,
,State Total,,"3,134,693","9,110",71,"1,247",922,"1,148","6,644","65,391","15,030","45,378","4,983",,,
,,"Rate per 100,000 inhabitants",,290.6,2.3,39.8,29.4,36.6,212.0,"2,086.0",479.5,"1,447.6",159.0,,,
KANSAS,Metropolitan Statistical Area,,"1,970,971", ,,,,,,,,,,,,
,,Area actually reporting,97.9%,"8,227",85,887,659,"1,451","5,804","56,252","9,453","41,266","5,533",,,
,,Estimated total,100.0%,"8,310",86,898,666,"1,460","5,866","57,021","9,579","41,845","5,597",,,
,Cities outside metropolitan areas,,"605,300",,,,,,,,,,,,,
,,Area actually reporting,95.3%,"1,973",11,328,239,178,"1,456","16,659","3,234","12,498",927,,,
,,Estimated total,100.0%,"2,068",12,341,251,187,"1,528","17,483","3,394","13,116",973,,,
,Nonmetropolitan counties,,"331,018",,,,,,,,,,,,,
,,Area actually reporting,92.8%,633,12,68,50,22,531,"3,583","1,290","1,953",340,,,
,,Estimated total,100.0%,682,13,73,54,24,572,"3,863","1,391","2,105",367,,,
,State Total,,"2,907,289","11,060",111,"1,312",971,"1,671","7,966","78,367","14,364","57,066","6,937",,,
,,"Rate per 100,000 inhabitants",,380.4,3.8,45.1,33.4,57.5,274.0,"2,695.5",494.1,"1,962.9",238.6,,,
KENTUCKY,Metropolitan Statistical Area,,"2,604,116", ,,,,,, ,,,,,,
,,Area actually reporting,100.0%,"7,859",176,879,659,"2,911","3,893","73,569","14,192","51,591","7,786",,,
,Cities outside metropolitan areas,,"538,773",,,,,,,,,,,,,
,,Area actually reporting,100.0%,959,14,195,141,298,452,"13,676","2,835","9,932",909,,,
,Nonmetropolitan counties,,"1,294,085",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"1,490",70,567,374,160,693,"9,913","3,807","4,915","1,191",,,
,State Total,,"4,436,974","10,308",260,"1,641","1,174","3,369","5,038","97,158","20,834","66,438","9,886",,,
,,"Rate per 100,000 inhabitants",,232.3,5.9,37.0,26.5,75.9,113.5,"2,189.7",469.6,"1,497.4",222.8,,,
LOUISIANA,Metropolitan Statistical Area,,"3,923,928", ,,,,,, ,,,,,,
,,Area actually reporting,99.1%,"22,991",497,"1,631","1,198","5,198","15,665","134,283","29,366","95,483","9,434",,,
,,Estimated total,100.0%,"23,135",499,"1,639","1,205","5,220","15,777","135,537","29,581","96,462","9,494",,,
,Cities outside metropolitan areas,,"248,647",,,,,,,,,,,,,
,,Area actually reporting,91.6%,"1,611",19,75,54,246,"1,271","10,561","2,695","7,523",343,,,
,,Estimated total,100.0%,"1,758",21,82,61,268,"1,387","11,525","2,941","8,210",374,,,
,Nonmetropolitan counties,,"509,091",,,,,,,,,,,,,
,,Area actually reporting,97.0%,"1,560",33,92,60,85,"1,350","7,106","2,081","4,568",457,,,
,,Estimated total,100.0%,"1,609",34,95,62,88,"1,392","7,324","2,145","4,708",471,,,
,State Total,,"4,681,666","26,502",554,"1,816","1,328","5,576","18,556","154,386","34,667","109,380","10,339",,,
,,"Rate per 100,000 inhabitants",,566.1,11.8,38.8,28.4,119.1,396.4,"3,297.7",740.5,"2,336.3",220.8,,,
MAINE,Metropolitan Statistical Area,,"789,447",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"1,003",8,225,171,198,572,"13,743","2,404","10,881",458,,,
,Cities outside metropolitan areas,,"258,813",,,,,,,,,,,,,
,,Area actually reporting,100.0%,396,7,116,82,53,220,"5,404",839,"4,416",149,,,
,Nonmetropolitan counties,,"283,219",,,,,,,,,,,,,
,,Area actually reporting,100.0%,249,5,71,47,15,158,"2,765",760,"1,837",168,,,
,State Total,,"1,331,479","1,648",20,412,300,266,950,"21,912","4,003","17,134",775,,,
,,"Rate per 100,000 inhabitants",,123.8,1.5,30.9,22.5,20.0,71.3,"1,645.7",300.6,"1,286.8",58.2,,,
MARYLAND,Metropolitan Statistical Area,,"5,866,031",,,,,,,,,,,,,
,,Area actually reporting,88.1%,"25,972",459,"1,525","1,103","9,635","14,353","121,542","21,943","88,677","10,922",,,
,,Estimated total,100.0%,"28,003",477,"1,711","1,235","10,222","15,593","134,419","24,001","98,686","11,732",,,
,Cities outside metropolitan areas,,"52,622",,,,,,,,,,,,,
,,Area actually reporting,100.0%,246,3,24,17,58,161,"1,823",325,"1,451",47,,,
,Nonmetropolitan counties,,"97,794",,,,,,,,,,,,,
,,Area actually reporting,100.0%,151,1,21,14,9,120,"1,203",366,782,55,,,
,State Total,,"6,016,447","28,400",481,"1,756","1,266","10,289","15,874","137,445","24,692","100,919","11,834",,,
,,"Rate per 100,000 inhabitants",,472.0,8.0,29.2,21.0,171.0,263.8,"2,284.5",410.4,"1,677.4",196.7,,,
MASSACHUSETTS,Metropolitan Statistical Area,,"6,713,214",,,,,,,,,,,,,
,,Area actually reporting,97.6%,"24,834",128,"2,026","1,512","5,265","17,415","102,464","18,439","76,183","7,842",,,
,,Estimated total,100.0%,"25,319",129,"2,070","1,547","5,344","17,776","104,725","18,841","77,877","8,007",,,
,Cities outside metropolitan areas,,"91,574",,,,,,,,,,,,,
,,Area actually reporting,84.9%,300,4,49,37,18,229,"1,370",299,"1,028",43,,,
,,Estimated total,100.0%,353,5,57,44,21,270,"1,614",352,"1,211",51,,,
,Nonmetropolitan counties,,"6,991",,,,,,,,,,,,,
,,Area actually reporting,100.0%,5,0,1,1,0,4,0,0,0,0,,,
,State Total,,"6,811,779","25,677",134,"2,128","1,592","5,365","18,050","106,339","19,193","79,088","8,058",,,
,,"Rate per 100,000 inhabitants",,376.9,2.0,31.2,23.4,78.8,265.0,"1,561.1",281.8,"1,161.0",118.3,,,
MICHIGAN,Metropolitan Statistical Area,,"8,132,404",,,,,,,,,,,,,
,,Area actually reporting,99.8%,"40,537",568,"5,310","3,900","6,971","27,688","165,035","34,569","111,303","19,163",,,
,,Estimated total,100.0%,"40,579",568,"5,317","3,905","6,979","27,715","165,307","34,612","111,510","19,185",,,
,Cities outside metropolitan areas,,"596,485",,,,,,,,,,,,,
,,Area actually reporting,91.6%,"1,474",7,501,356,71,895,"10,647","1,272","9,051",324,,,
,,Estimated total,100.0%,"1,611",8,548,390,78,977,"11,623","1,389","9,880",354,,,
,Nonmetropolitan counties,,"1,199,411",,,,,,,,,,,,,
,,Area actually reporting,98.7%,"3,339",22,"1,244",809,62,"2,011","12,526","3,521","8,376",629,,,
,,Estimated total,100.0%,"3,382",22,"1,260",819,63,"2,037","12,690","3,567","8,486",637,,,
,State Total, ,"9,928,300","45,572",598,"7,125","5,114","7,120","30,729","189,620","39,568","129,876","20,176",,,
,,"Rate per 100,000 inhabitants",,459.0,6.0,71.8,51.5,71.7,309.5,"1,909.9",398.5,"1,308.1",203.2,,,
MINNESOTA,Metropolitan Statistical Area,,"4,285,006",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"11,636",84,"1,891","1,409","3,610","6,051","99,694","15,244","76,823","7,627",,,
,Cities outside metropolitan areas,,"536,351",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"1,071",9,265,194,93,704,"11,809","1,529","9,732",548,,,
,Nonmetropolitan counties,,"698,595",,,,,,,,,,,,,
,,Area actually reporting,100.0%,687,8,192,128,25,462,"6,253","1,833","3,867",553,,,
,State Total,,"5,519,952","13,394",101,"2,348","1,731","3,728","7,217","117,756","18,606","90,422","8,728",,,
,,"Rate per 100,000 inhabitants",,242.6,1.8,42.5,31.4,67.5,130.7,"2,133.3",337.1,"1,638.1",158.1,,,
MISSISSIPPI6,Metropolitan Statistical Area,,"1,377,735", ,,,,,,,,,,,,
,,Area actually reporting,81.7%,"3,304",103,382,280,"1,188","1,631","33,547","7,390","23,892","2,265",,,
,,Estimated total,100.0%,"3,732",111,431,316,"1,298","1,892","39,162","8,556","28,063","2,543",,,
,Cities outside metropolitan areas,,"582,351",,,,,,,,,,,,,
,,Area actually reporting,45.4%,"1,171",34,154,115,376,607,"12,437","3,562","8,431",444,,,
,,Estimated total,100.0%,"2,602",75,360,273,829,"1,338","27,419","7,853","18,587",979,,,
,Nonmetropolitan counties,,"1,028,640",,,,,,,,,,,,,
,,Area actually reporting,36.3%,718,19,151,99,98,450,"5,856","2,518","3,047",291,,,
,,Estimated total,100.0%,"2,049",52,486,316,270,"1,241","16,151","6,945","8,404",802,,,
,State Total,,"2,988,726","8,383",238,"1,277",905,"2,397","4,471","82,732","23,354","55,054","4,324",,,
,,"Rate per 100,000 inhabitants",,280.5,8.0,42.7,30.3,80.2,149.6,"2,768.1",781.4,"1,842.1",144.7,,,
MISSOURI,Metropolitan Statistical Area,,"4,549,686", ,,,,,,,,,,,,
,,Area actually reporting,99.9%,"26,940",474,"2,151","1,593","6,269","18,046","138,969","24,543","98,114","16,312",,,
,,Estimated total,100.0%,"26,941",474,"2,151","1,593","6,269","18,047","138,978","24,544","98,121","16,313",,,
,Cities outside metropolitan areas,,"660,363",,,,,,,,,,,,,
,,Area actually reporting,99.3%,"2,434",32,239,177,240,"1,923","21,155","3,641","16,533",981,,,
,,Estimated total,100.0%,"2,450",32,240,178,242,"1,936","21,296","3,665","16,643",988,,,
,Nonmetropolitan counties,,"882,951",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"2,253",31,163,113,59,"2,000","10,275","3,501","5,780",994,,,
,State Total,,"6,093,000","31,644",537,"2,554","1,884","6,570","21,983","170,549","31,710","120,544","18,295",,,
,,"Rate per 100,000 inhabitants",,519.4,8.8,41.9,30.9,107.8,360.8,"2,799.1",520.4,"1,978.4",300.3,,,
MONTANA,Metropolitan Statistical Area,,"367,953", ,,,,,,,,,,,,
,,Area actually reporting,99.9%,"1,306",7,185,137,172,942,"13,377","1,823","10,180","1,374",,,
,,Estimated total,100.0%,"1,307",7,185,137,172,943,"13,392","1,824","10,193","1,375",,,
,Cities outside metropolitan areas,,"220,793",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"1,335",11,242,177,68,"1,014","7,694",938,"6,096",660,,,
,Nonmetropolitan counties,,"453,774",,,,,,,,,,,,,
,,Area actually reporting,98.9%,"1,186",18,150,99,26,992,"6,818","1,160","4,957",701,,,
,,Estimated total,100.0%,"1,198",18,151,100,26,"1,003","6,890","1,172","5,010",708,,,
,State Total,,"1,042,520","3,840",36,578,414,266,"2,960","27,976","3,934","21,299","2,743",,,
,,"Rate per 100,000 inhabitants",,368.3,3.5,55.4,39.7,25.5,283.9,"2,683.5",377.4,"2,043.0",263.1,,,
NEBRASKA6,Metropolitan Statistical Area,,"1,240,589",,,,,,,,,,,,,
,,Area actually reporting,99.2%,"4,383",43,719,539,877,"2,744","32,557","4,432","24,021","4,104",,,
,,Estimated total,100.0%,"4,398",43,723,543,878,"2,754","32,713","4,451","24,143","4,119",,,
,Cities outside metropolitan areas,,"338,960",,,,,,,,,,,,,
,,Area actually reporting,93.5%,794,4,188,135,55,547,"7,716","1,329","6,011",376,,,
,,Estimated total,100.0%,848,4,200,145,59,585,"8,249","1,421","6,426",402,,,
,Nonmetropolitan counties,,"327,567",,,,,,,,,,,,,
,,Area actually reporting,90.5%,275,2,64,43,8,201,"1,992",518,"1,289",185,,,
,,Estimated total,100.0%,304,2,71,50,9,222,"2,201",572,"1,425",204,,,
,State Total,,"1,907,116","5,550",49,994,738,946,"3,561","43,163","6,444","31,994","4,725",,,
,,"Rate per 100,000 inhabitants",,291.0,2.6,52.1,38.7,49.6,186.7,"2,263.3",337.9,"1,677.6",247.8,,,
NEVADA,Metropolitan Statistical Area,,"2,668,109",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"19,133",209,"1,616","1,211","6,292","11,016","71,672","17,652","41,249","12,771",,,
,Cities outside metropolitan areas,,"48,603",,,,,,,,,,,,,
,,Area actually reporting,100.0%,311,5,49,35,21,236,"1,308",327,875,106,,,
,Nonmetropolitan counties,,"223,346",,,,,,,,,,,,,
,,Area actually reporting,100.0%,492,10,68,46,27,387,"3,067",871,"1,893",303,,,
,State Total,,"2,940,058","19,936",224,"1,733","1,292","6,340","11,639","76,047","18,850","44,017","13,180",,,
,,"Rate per 100,000 inhabitants",,678.1,7.6,58.9,43.9,215.6,395.9,"2,586.6",641.1,"1,497.1",448.3,,,
NEW HAMPSHIRE,Metropolitan Statistical Area,,"839,311",,,,,,,,,,,,,
,,Area actually reporting,99.0%,"1,721",10,340,249,327,"1,044","11,923","1,580","9,793",550,,,
,,Estimated total,100.0%,"1,733",10,343,252,329,"1,051","12,030","1,594","9,881",555,,,
,Cities outside metropolitan areas,,"452,615",,,,,,,,,,,,,
,,Area actually reporting,89.4%,749,5,200,143,85,459,"6,996","1,117","5,624",255,,,
,,Estimated total,100.0%,839,6,224,161,95,514,"7,829","1,250","6,294",285,,,
,Nonmetropolitan counties,,"42,869",,,,,,,,,,,,,
,,Area actually reporting,93.6%,61,1,14,9,3,43,313,111,173,29,,,
,,Estimated total,100.0%,65,1,15,10,3,46,335,119,185,31,,,
,State Total,,"1,334,795","2,637",17,582,423,427,"1,611","20,194","2,963","16,360",871,,,
